Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
F6	12	82	HET	14.81857	-1.8694737
E3	4	122	WT	15.49362	-3.1427746
F1	3	88	WT	11.353044	-1.4499669
D12	12	106	Null	14.75611	-1.5555398
D7	1	83	HET	15.651965	0.8088172
D12	20	106	Null	14.425256	1.4160994
G6	11	79	HET	13.833019	-1.2196883
G9	11	149	Null	14.517082	2.9765193
D2	18	98	WT	17.066631	2.1908088
D11	13	178	Null	16.540447	-1.5390514
B11	6	148	Null	15.068973	-2.6991189
G9	3	149	Null	15.724872	2.7842426
B2	7	97	WT	14.259738	-2.3988304
B9	4	173	Null	17.622475	0.5997138
G11	14	129	Null	14.717748	2.7641058
B3	6	79	WT	17.164698	4.0047016
G4	19	100	WT	13.84359	-2.307681
C1	18	66	WT	15.245529	-0.13381884
F11	14	135	Null	13.223604	0.36638284
D10	17	157	Null	14.099412	0.9705513
G3	7	121	WT	17.283926	0.22493334
B11	11	148	Null	16.065767	1.384325
C3	17	117	WT	13.344779	-0.78359467
E7	12	103	HET	15.333558	-0.06634156
D6	4	76	HET	17.318901	0.45382422
D11	11	178	Null	12.659194	1.4130722
B10	12	155	Null	16.1872	-0.6697946
D7	14	83	HET	16.212341	0.7852652
D11	16	178	Null	16.65959	0.3878087
F12	1	125	Null	16.447989	0.07899781
B11	9	148	Null	16.379848	-2.1492515
F4	8	94	WT	13.374625	0.27252626
B10	7	155	Null	14.119471	-1.5798353
B9	10	173	Null	15.446764	-1.4545785
F2	13	111	WT	13.253139	1.647183
B11	3	148	Null	16.663372	1.5712477
B8	21	64	HET	16.920475	1.6451734
B3	6	79	WT	17.175516	4.017362
C11	9	154	Null	14.700509	0.77220947
D9	7	135	Null	15.088412	0.43791178
G9	8	149	Null	15.3621	-1.8974771
E4	16	86	WT	12.997836	0.8741862
B5	7	101	HET	11.97193	0.016937599
C10	20	125	Null	14.203345	2.4006753
D3	3	128	WT	16.026293	0.30080843
F12	4	125	Null	16.78963	0.54036194
D9	9	135	Null	17.520847	1.261413
G6	2	79	HET	14.071701	-0.33736867
D7	4	83	HET	17.640568	-0.9989467
C4	15	104	WT	15.70063	-1.8696741
F10	21	152	Null	16.314413	0.69299763
D11	2	178	Null	16.108232	2.707396
C12	7	119	Null	15.103196	0.31486765
B10	8	155	Null	14.054879	0.86560583
G9	5	149	Null	14.432805	-1.9545436
B10	17	155	Null	14.626348	2.1921918
D12	2	106	Null	17.700386	-0.38390356
G5	8	61	HET	15.742266	-2.4876459
E2	21	102	WT	13.348119	-0.3438327
D3	1	128	WT	15.876852	-2.4966722
F1	10	88	WT	14.773009	-2.531737
C8	20	85	HET	16.73735	-1.170909
C2	15	137	WT	15.326138	2.6862268
D12	13	106	Null	15.458364	-0.58741754
E2	2	102	WT	11.337084	-0.6992768
C9	3	156	Null	15.892032	2.294613
E10	5	132	Null	14.835046	-0.8356802
E1	17	101	WT	16.599535	-0.62726593
G4	8	100	WT	15.138065	-1.635882
C9	10	156	Null	14.000548	2.1962364
F3	17	92	WT	14.856645	2.7411017
G1	1	72	WT	15.213362	-1.4759275
F9	17	149	Null	15.355837	-1.3368788
E9	21	120	Null	15.196016	0.46570817
D4	19	102	WT	15.848951	1.9740118
G1	4	72	WT	16.61161	0.25068402
D9	14	135	Null	13.492038	1.6734358
F11	4	135	Null	14.721494	-0.87512064
C3	2	117	WT	16.129646	1.1220387
F10	18	152	Null	15.75492	0.25238165
B2	16	97	WT	13.609386	-1.3881698
D12	20	106	Null	16.370062	-0.71985954
F9	3	149	Null	16.990274	0.7313182
C5	10	78	HET	15.045443	0.72549295
F6	1	82	HET	15.599852	-2.8574467
B2	10	97	WT	13.266299	-2.1743078
F9	10	149	Null	14.136187	-3.1328301
C11	20	154	Null	16.151852	-0.92026204
