Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
C6	17	137	HET	Plate_3	3.1107972	4.0068126
E4	5	86	WT	Plate_5	-0.3350273	4.0618505
E1	4	101	WT	Plate_5	-1.6093998	4.703442
E12	15	115	Null	Plate_5	1.1682835	3.4769444
G8	17	358	HET	Plate_3_prime	0.5856711	4.0707397
G10	3	72	Null	Plate_3_prime	3.0825107	3.9283512
E6	13	174	HET	Plate_3	2.577313	4.515475
B9	18	173	Null	Plate_5	0.07777383	0.053740628
F4	3	438	WT	Plate_3	-0.8961368	3.7677948
G3	10	187	WT	Plate_3	0.8017836	5.3485622
E12	16	607	Null	Plate_3	-0.32135138	0.4139764
E1	20	20	WT	Plate_3_prime	0.68472046	-0.66338545
C12	13	570	Null	Plate_3	-1.5739886	2.1892145
D12	16	623	Null	Plate_3	-0.09856159	0.61210257
D7	22	235	HET	Plate_3	-0.19911987	2.1631467
B4	14	559	WT	Plate_3	0.0016281927	1.3082557
E8	9	705	HET	Plate_3	-1.8966608	4.393624
E8	17	705	HET	Plate_3	-0.56154364	1.3397169
B8	16	797	HET	Plate_3	-3.1580834	3.248462
F4	24	438	WT	Plate_3	-0.050982073	2.799506
B10	2	155	Null	Plate_5	3.1067069	4.634836
G3	22	248	WT	Plate_3_prime	-0.20455483	4.0651455
D4	13	102	WT	Plate_5	-0.72159934	6.0139503
D8	22	681	HET	Plate_3	0.4368729	2.614449
D12	11	623	Null	Plate_3	-0.63384664	0.81813234
C3	23	346	WT	Plate_3	0.0011491942	3.9627764
D11	16	178	Null	Plate_5	2.297664	2.587122
G2	21	94	WT	Plate_3_prime	0.83428717	2.345642
B4	16	559	WT	Plate_3	-0.6595185	1.3978215
F3	18	174	WT	Plate_3_prime	2.390643	4.810239
G2	24	94	WT	Plate_3_prime	2.7835228	4.6517
B2	25	139	WT	Plate_3	-0.55726933	3.5500672
F11	9	329	Null	Plate_3	-0.38934222	5.103298
F4	2	438	WT	Plate_3	-0.56582576	2.4161625
B8	21	797	HET	Plate_3	2.0058618	4.129637
F5	19	47	HET	Plate_3_prime	1.9454192	3.537158
C6	22	98	HET	Plate_3_prime	2.03641	2.4197497
C12	3	321	Null	Plate_3_prime	-0.43313587	4.7845488
D9	1	51	Null	Plate_3	0.48759425	-0.38555452
F8	5	557	HET	Plate_3	1.7071509	5.0904818
C11	21	281	Null	Plate_3	1.7467693	4.396931
E12	13	607	Null	Plate_3	-0.039538655	5.295715
C2	18	137	WT	Plate_5	-1.6261706	5.045903
D5	10	99	HET	Plate_5	2.4239192	1.9998795
D4	8	636	WT	Plate_3	2.1180544	4.289112
G6	9	109	HET	Plate_3	1.4554411	3.0060937
E12	19	328	Null	Plate_3_prime	-1.5224054	3.6795254
C12	13	321	Null	Plate_3_prime	-1.6900162	4.246983
D5	12	99	HET	Plate_5	1.5741411	5.1366887
E12	20	328	Null	Plate_3_prime	-0.65437126	6.1385236
D7	24	235	HET	Plate_3	1.412901	2.3981931
F11	6	135	Null	Plate_5	0.32215583	5.819841
G4	4	386	WT	Plate_3	3.1755538	3.7086933
F9	3	71	Null	Plate_3	2.4962118	4.2509737
G7	25	82	HET	Plate_3_prime	-0.03340077	3.906607
F9	21	149	Null	Plate_5	1.0884901	4.1444654
G9	9	149	Null	Plate_5	3.0507412	4.154758
G11	15	250	Null	Plate_3	-0.75195503	1.0912694
C2	5	137	WT	Plate_5	1.2677988	5.794574
C12	15	570	Null	Plate_3	-1.1019744	1.5258933
D10	1	157	Null	Plate_5	-0.75111836	5.46215
E4	25	246	WT	Plate_3_prime	-2.5263143	3.8061142
E4	19	246	WT	Plate_3_prime	-0.47229952	4.1339417
C7	17	331	HET	Plate_3	-0.24649732	4.2281694
C4	12	666	WT	Plate_3	-1.9836787	3.0654926
D12	4	193	Null	Plate_3_prime	-0.8065619	4.6976385
F2	13	71	WT	Plate_3	0.7322651	2.5382717
