Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D2	2	69	Null	Plate_4	15.896061	4.9020686
B4	24	97	WT	Plate_4	15.443761	3.6290097
E10	3	88	WT	Plate_4	10.927589	4.2130833
G8	15	126	WT	Plate_4	12.781931	7.5587
B6	5	102	WT	Plate_4	10.508164	4.3737516
F2	24	136	WT	Plate_4	15.200532	5.5126047
F2	4	136	WT	Plate_4	13.340699	5.4215245
C3	24	112	WT	Plate_4	13.177275	6.256339
F5	3	140	WT	Plate_4	13.464652	7.3214884
D8	14	96	Null	Plate_4	13.787127	7.861537
F8	4	170	WT	Plate_4	8.884554	3.1362236
E10	22	88	WT	Plate_4	13.307968	6.028833
G4	12	176	WT	Plate_4	15.065878	3.8037274
E10	5	88	WT	Plate_4	12.379483	7.7265353
C3	21	112	WT	Plate_4	13.40799	2.5840898
E8	18	131	WT	Plate_4	13.324258	4.7622657
G10	6	121	WT	Plate_4	15.124064	7.096933
F11	3	114	Null	Plate_4	13.619574	5.9390616
E11	11	145	WT	Plate_4	14.671508	3.8809173
D11	2	138	WT	Plate_4	11.916938	3.3982403
F4	21	127	WT	Plate_4	15.343786	2.6094544
D9	6	97	WT	Plate_4	13.651086	3.6032906
B6	6	102	WT	Plate_4	14.860055	4.412074
B8	13	125	WT	Plate_4	14.461559	4.8706694
G7	2	146	WT	Plate_4	14.886562	4.600151
G11	4	118	Null	Plate_4	12.905232	7.770175
G2	16	159	WT	Plate_4	13.221329	5.768111
C7	23	98	WT	Plate_4	11.842675	8.219794
B9	11	132	WT	Plate_4	10.672022	4.2561564
F5	16	140	WT	Plate_4	13.2089815	7.539555
E2	24	113	WT	Plate_4	12.173931	5.4750586
E4	25	192	WT	Plate_4	12.170779	5.4397845
G10	10	121	WT	Plate_4	14.846064	6.2827845
F9	3	149	WT	Plate_4	13.2667055	3.2196672
B4	3	97	WT	Plate_4	14.325869	2.13169
F9	11	149	WT	Plate_4	13.723559	4.582059
D3	11	144	WT	Plate_4	14.27037	6.350194
D4	24	144	WT	Plate_4	14.545421	2.3192856
F10	10	154	WT	Plate_4	13.880602	3.6960106
F8	9	170	WT	Plate_4	14.081391	6.3341756
E6	4	124	WT	Plate_4	12.70254	4.9098167
E6	23	124	WT	Plate_4	10.723838	4.1175203
G5	11	133	WT	Plate_4	12.891705	5.3065825
E6	6	124	WT	Plate_4	12.927072	4.58829
G10	10	121	WT	Plate_4	14.441347	7.0100865
D9	1	97	WT	Plate_4	13.504475	6.485868
F4	22	127	WT	Plate_4	11.204118	2.127779
F10	16	154	WT	Plate_4	13.28273	5.3251467
E2	2	113	WT	Plate_4	14.241505	3.976354
E8	15	131	WT	Plate_4	13.032998	4.726564
G4	1	176	WT	Plate_4	15.245418	2.734354
B3	4	133	WT	Plate_4	11.433543	5.077354
G4	1	176	WT	Plate_4	15.179446	4.5299387
E9	7	113	WT	Plate_4	11.895418	6.624078
G9	13	148	WT	Plate_4	13.91834	5.7473154
G7	6	146	WT	Plate_4	14.666371	6.799897
E6	11	124	WT	Plate_4	14.134582	4.503043
B4	7	97	WT	Plate_4	11.133139	4.587324
C8	9	96	Null	Plate_4	11.41944	5.191919
F11	21	114	Null	Plate_4	12.07608	7.6153083
F9	7	149	WT	Plate_4	13.937792	3.2228315
G8	11	126	WT	Plate_4	13.464356	4.1918173
