Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
B6	28	93	WT	Plate_6_filtered	11.736657	3.3225896
D10	6	59	Null	Plate_6_filtered	11.244331	3.32886
E4	12	131	WT	Plate_6_filtered	7.6858807	2.745353
E10	16	224	WT	Plate_6_filtered	9.055115	2.6393328
B9	28	135	WT	Plate_6_filtered	11.920414	1.0347725
D8	27	62	Null	Plate_6_filtered	10.635768	2.3571978
B6	8	93	WT	Plate_6_filtered	9.642721	1.2492415
E8	2	215	WT	Plate_6_filtered	6.1802773	1.9806814
G5	12	131	Null	Plate_6_filtered	8.840583	2.1307607
B5	3	91	WT	Plate_6_filtered	11.686319	4.2331176
D4	23	40	Null	Plate_6_filtered	10.958899	3.7718432
B5	29	91	WT	Plate_6_filtered	12.071272	4.2070327
G4	22	109	Null	Plate_6_filtered	8.9362335	2.2222245
E7	32	194	WT	Plate_6_filtered	10.002216	6.724331
B2	23	129	WT	Plate_6_filtered	10.398702	1.7487147
E11	22	232	WT	Plate_6_filtered	7.7642517	1.6837524
E10	32	224	WT	Plate_6_filtered	8.901639	4.2938337
E5	36	172	WT	Plate_6_filtered	6.814836	2.567969
E3	18	161	WT	Plate_6_filtered	6.1156073	1.4915429
B9	17	135	WT	Plate_6_filtered	9.993153	2.1436436
E10	4	224	WT	Plate_6_filtered	7.5145855	5.373131
B5	32	91	WT	Plate_6_filtered	9.632226	2.092107
E8	21	215	WT	Plate_6_filtered	8.477088	4.849328
E8	8	215	WT	Plate_6_filtered	9.033521	6.198382
E7	11	194	WT	Plate_6_filtered	6.6980934	1.67468
E10	10	224	WT	Plate_6_filtered	9.428237	5.969572
B8	34	92	WT	Plate_6_filtered	12.554326	2.4467418
B2	22	129	WT	Plate_6_filtered	10.628949	4.029131
D10	28	59	Null	Plate_6_filtered	11.495082	2.166007
E2	1	141	WT	Plate_6_filtered	6.9203978	3.8737006
E4	12	131	WT	Plate_6_filtered	10.116394	4.73244
E10	21	224	WT	Plate_6_filtered	8.01478	5.2370834
G2	27	114	Null	Plate_6_filtered	7.015279	2.0787544
E4	8	131	WT	Plate_6_filtered	8.839131	5.839872
D2	35	53	Null	Plate_6_filtered	11.484665	3.5690536
G10	6	88	Null	Plate_6_filtered	9.547882	5.9308095
G3	13	123	Null	Plate_6_filtered	6.6512136	1.0504175
E6	26	144	WT	Plate_6_filtered	6.9710793	3.3650599
G9	35	87	Null	Plate_6_filtered	7.1759305	4.5970607
E6	36	144	WT	Plate_6_filtered	9.62647	5.309289
E11	30	232	WT	Plate_6_filtered	6.233209	3.157168
E5	25	172	WT	Plate_6_filtered	8.04537	6.1024833
E2	32	141	WT	Plate_6_filtered	5.9958925	3.8167481
D3	5	55	Null	Plate_6_filtered	11.479989	3.2359908
E5	36	172	WT	Plate_6_filtered	10.521336	5.31598
G11	11	114	Null	Plate_6_filtered	7.267121	3.1581905
E8	24	215	WT	Plate_6_filtered	10.270206	5.8412294
D11	22	67	Null	Plate_6_filtered	8.387274	1.763764
G10	12	88	Null	Plate_6_filtered	10.123215	6.53452
E10	20	224	WT	Plate_6_filtered	8.922756	3.723407
E3	28	161	WT	Plate_6_filtered	7.6220846	3.1425765
E6	19	144	WT	Plate_6_filtered	7.521895	2.1366756
B9	29	135	WT	Plate_6_filtered	11.069788	1.2988074
G6	31	133	Null	Plate_6_filtered	8.186063	3.3811548
G6	5	133	Null	Plate_6_filtered	7.0240746	4.159011
B9	16	135	WT	Plate_6_filtered	11.549293	1.5475149
B4	35	88	WT	Plate_6_filtered	6.5547934	3.3321745
B8	28	92	WT	Plate_6_filtered	10.8874035	0.85200584
G5	3	131	Null	Plate_6_filtered	9.509414	5.991188
G9	32	87	Null	Plate_6_filtered	8.105553	1.1849757
G11	21	114	Null	Plate_6_filtered	9.991753	6.1286836
E3	32	161	WT	Plate_6_filtered	6.2409143	3.3635511
E5	23	172	WT	Plate_6_filtered	7.5730085	4.067059
E11	21	232	WT	Plate_6_filtered	8.886319	3.6454566
E3	27	161	WT	Plate_6_filtered	9.051753	2.4968941
E6	16	144	WT	Plate_6_filtered	6.2224874	2.496431
E8	7	215	WT	Plate_6_filtered	7.859275	1.7488652
