Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
G4	15	388	WT	1.8278674	-4.6354284
E2	7	60	WT	3.9553683	-1.1434922
D4	13	358	WT	1.4123658	-3.6160889
F11	17	100	Null	1.0543802	-1.2650608
B9	16	47	Null	2.8634686	-2.0984175
F12	23	125	Null	3.2009928	-4.495075
F10	2	66	Null	2.7102382	-0.7113625
G12	9	187	Null	1.6939243	-2.4825473
D3	7	168	WT	2.8598666	-2.9894981
C12	17	321	Null	3.149533	-3.7734017
B4	8	219	WT	1.6294193	-2.34159
E12	25	328	Null	2.9751217	-4.005384
D4	2	358	WT	1.0174378	-3.577726
G3	13	248	WT	0.94652605	-1.6909558
B4	8	219	WT	4.8151135	-3.828718
C2	7	42	WT	3.4220977	-0.88214535
E3	3	156	WT	2.4964697	-3.3628764
G12	10	187	Null	3.4145322	-5.6669188
F6	23	117	HET	0.9372006	0.2876189
E4	15	246	WT	3.4935672	-2.3285587
G10	2	72	Null	2.8481278	-0.80685276
B6	19	104	HET	3.7989545	-0.46115002
G8	10	358	HET	1.3882071	-0.20801501
D4	2	358	WT	0.60420257	-5.254845
B5	19	45	HET	4.2446265	0.51672626
B3	5	77	WT	3.7101545	-2.8009515
F10	17	66	Null	3.3089893	-0.7783358
D4	17	358	WT	1.7780068	-4.09702
G8	23	358	HET	2.1860902	-1.8379754
E1	20	20	WT	3.7290788	-0.77888465
G4	20	388	WT	4.4964023	-3.226224
D4	5	358	WT	4.149586	-3.5887358
G7	7	82	HET	4.7772956	-2.7842553
G8	24	358	HET	2.289068	-4.088574
F3	9	174	WT	2.6096869	-3.0230198
D8	14	122	HET	3.2651963	-2.8733313
E3	16	156	WT	1.5339853	-4.9124727
D6	8	99	HET	3.9180532	0.2188068
B8	25	107	HET	0.46069482	-2.7363908
E6	19	94	HET	2.994018	0.072191946
C2	1	42	WT	2.9890468	0.3937879
B4	20	219	WT	4.2864823	-4.644576
G6	10	125	HET	3.67117	0.18259302
B1	23	30	WT	4.036681	0.09149619
G8	19	358	HET	3.2683473	-5.2418046
E4	25	246	WT	1.503871	-3.763658
F4	15	284	WT	2.0112107	-3.955467
G1	21	27	WT	2.951235	0.30466527
C12	17	321	Null	3.844317	-4.3919716
G4	5	388	WT	0.4421657	-1.6198938
E5	12	53	HET	4.7290606	-1.1451036
C4	22	127	WT	2.7873647	-5.232459
E10	18	74	Null	3.6345983	-1.0571293
F2	17	91	WT	1.6361765	-0.41758528
C3	24	138	WT	1.779974	-3.9412103
E3	9	156	WT	0.5921771	-1.4525145
B9	2	47	Null	2.7402725	-1.2478336
E3	24	156	WT	4.751432	-3.24909
E3	19	156	WT	5.0308614	-3.7904265
E12	10	328	Null	3.6683855	-3.752339
G11	17	142	Null	0.27104217	-4.1055536
F4	19	284	WT	1.3677802	-5.5968456
E4	20	246	WT	2.510647	-2.9084988
F11	15	100	Null	4.246137	-3.7095191
D1	16	47	WT	3.5208926	0.9413071
D6	22	99	HET	2.7268088	-0.20859222
F4	17	284	WT	1.1921353	-2.9949641
G4	14	388	WT	3.2669706	-4.7174735
B12	18	200	Null	2.688589	-3.823553
C6	16	98	HET	2.3629856	-1.1161517
F4	17	284	WT	3.9432502	-3.6820927
D4	10	358	WT	1.4523044	-4.830445
E2	10	60	WT	2.213384	-0.6609252
G2	24	94	WT	4.609946	-0.1839483
C12	15	321	Null	5.1284847	-3.5154803
G3	19	248	WT	0.14711082	-2.320761
D4	20	358	WT	4.384762	-4.7460175
F10	22	66	Null	2.942449	-0.8587422
E4	22	246	WT	4.7871323	-4.724459
D10	22	51	Null	3.0510151	-0.93451077
F7	15	40	HET	0.6346392	-4.536276
G6	17	125	HET	1.9337049	-0.25259578
G8	25	358	HET	2.5380855	-4.8569956
F2	20	91	WT	3.9649549	-0.31437638
F4	15	284	WT	1.3015974	-5.3575478
B12	4	200	Null	3.3920953	-2.7980196
F10	11	66	Null	3.8687866	-1.0617808
G8	24	358	HET	0.20622362	-2.0967503
E12	25	328	Null	3.5185473	-4.209807
C5	22	29	HET	-0.00090430485	-4.1642184
C4	25	127	WT	1.2083486	-5.1242876
E4	22	246	WT	0.5457415	-4.361338
F3	9	174	WT	2.7998328	-2.4875546
E3	16	156	WT	5.4012465	-2.4448915
B8	24	107	HET	3.3839536	-4.661276
B8	23	107	HET	4.3758802	-4.1530643
F4	18	284	WT	0.037257865	-0.34198892
G4	17	388	WT	5.304431	-3.0192668
C12	9	321	Null	3.2758071	-3.4408748
E3	15	156	WT	0.90516937	-4.900412
G3	4	248	WT	3.803491	-2.6003342
D8	15	122	HET	0.38674888	-2.2895885
D6	23	99	HET	3.190688	0.49458027
G3	18	248	WT	2.597041	-3.1131876
E12	19	328	Null	2.7624848	-3.3330812
G8	10	358	HET	1.9282061	-3.0219753
G4	14	388	WT	1.1078978	-4.4867425
B12	25	200	Null	2.274989	-5.5268927
E4	4	246	WT	3.029347	-3.20232
F4	9	284	WT	5.1495695	-2.7704713
E3	9	156	WT	1.6721342	-2.17013
B7	25	33	HET	3.1962013	-2.6619
D3	9	168	WT	4.7037544	-2.7043154
G4	12	388	WT	4.3163557	-5.151384
E4	13	246	WT	3.4865584	-7.864257
B4	13	219	WT	1.18482	-2.576389
G11	3	142	Null	4.984762	-2.7068634
C12	18	321	Null	4.276759	-4.8581457
D3	24	168	WT	1.2153246	-0.6238303
D6	22	99	HET	3.6738985	-0.5095775
D5	7	39	HET	0.2848271	-0.19349404
F12	19	125	Null	3.809571	-3.989053
G5	8	66	HET	2.6453824	-0.42430258
G4	4	388	WT	1.118115	-5.3436813
G12	18	187	Null	2.7621279	-4.2887583
D12	20	193	Null	5.260259	-3.7320187
D2	12	44	WT	2.5498934	-0.28027314
G4	14	388	WT	0.9096658	-5.073483
G4	21	388	WT	0.17808977	-4.3281193
F4	20	284	WT	4.343985	-2.6462865
F3	20	174	WT	1.801341	-2.1719615
E2	22	60	WT	2.923088	0.6771741
D2	25	44	WT	3.860892	-0.37333247
E12	19	328	Null	3.5887806	-5.256043
C11	23	54	Null	0.915961	-4.7450304
G12	15	187	Null	0.018919975	-0.15524876
B12	24	200	Null	2.9527352	-4.8036633
E9	12	26	Null	3.9788985	-1.1677805
G4	4	388	WT	5.030269	-3.4409668
G3	8	248	WT	1.0319791	-4.5583196
G7	9	82	HET	0.7751944	-3.168236
E4	5	246	WT	2.5887852	-5.128138
D6	10	99	HET	4.7931094	0.29151946
E11	4	59	Null	-1.8289171	-3.609594
B4	25	219	WT	4.917064	-3.220879
E1	20	20	WT	3.0222757	-0.4282751
E7	20	37	HET	0.6368609	-4.623944
F11	3	100	Null	1.5267266	-1.1721764
G3	22	248	WT	2.1212552	-3.3367887
E4	20	246	WT	2.3805206	-5.4595194
B4	5	219	WT	2.7045116	-6.2488766
E6	22	94	HET	3.1721911	-0.011033269
D1	7	47	WT	0.09898936	-0.047380544
B2	1	55	WT	0.1408783	0.069598876
C12	19	321	Null	3.069408	-3.531627
D11	20	100	Null	-0.069755904	-3.1405904
G8	6	358	HET	2.0816746	-4.6297283
G11	20	142	Null	4.030113	-1.7866293
F4	17	284	WT	0.69903445	-5.4663587
D8	5	122	HET	1.5376196	-3.0596037
B4	20	219	WT	1.9435937	-5.3531275
C2	19	42	WT	4.8646417	0.18367971
E4	24	246	WT	4.773856	-3.7289417
F10	4	66	Null	4.1912904	0.34120923
C12	12	321	Null	4.375416	-2.1919968
D12	9	193	Null	1.8075049	-4.3994102
D3	7	168	WT	2.0790598	-3.362551
B6	12	104	HET	3.0128822	-0.3429585
F4	20	284	WT	2.8141644	-4.9830112
E3	21	156	WT	0.9509182	-4.257907
C11	18	54	Null	2.1612163	-2.4849176
G2	21	94	WT	2.1057985	0.55085546
G4	9	388	WT	1.415049	-5.162489
B7	20	33	HET	1.5934801	-4.8196006
D12	5	193	Null	1.4435817	-3.8448915
B12	15	200	Null	1.7292345	-5.081226
D6	3	99	HET	3.955039	0.28753766
B10	24	49	Null	3.2342417	-0.20019642
G9	24	44	Null	3.7995946	0.5941385
G3	15	248	WT	4.696064	-2.422263
G6	7	125	HET	4.525461	-0.25289813
G12	20	187	Null	2.6153717	-5.3215256
D6	6	99	HET	3.0580306	1.1364619
G12	4	187	Null	0.8442256	-4.7674437
E12	24	328	Null	3.469644	-5.9530354
B8	23	107	HET	1.5649424	-2.8565373
D6	3	99	HET	3.811062	0.64222807
F3	21	174	WT	1.3620511	-4.5714417
D10	4	51	Null	4.32673	-0.75341797
C12	4	321	Null	4.9604034	-4.15052
F4	19	284	WT	3.2575705	-3.2705855
B12	16	200	Null	1.4930071	-5.142667
E4	5	246	WT	2.6137903	-4.6170177
G12	13	187	Null	0.4064073	-3.8927593
G7	5	82	HET	0.12539971	-3.5828695
E2	23	60	WT	3.4447694	-0.93075556
G4	5	388	WT	5.113924	-2.6691585
G11	25	142	Null	2.9733863	-3.7668984
E12	12	328	Null	1.7100425	-3.437702
G8	17	358	HET	1.423152	-4.8254704
F10	13	66	Null	3.697643	-0.76938057
F2	7	91	WT	3.7159195	0.76172394
D12	9	193	Null	0.6552983	-1.9213521
D8	15	122	HET	1.1102157	-2.747031
C6	11	98	HET	2.030414	-3.6232188
E12	24	328	Null	0.4640897	-1.2184834
G2	10	94	WT	2.519863	0.5119996
B6	14	104	HET	3.7937448	1.0003084
D6	15	99	HET	3.7994344	0.057592917
B1	23	30	WT	3.6150148	-0.6787651
E12	3	328	Null	2.4552357	-5.8247094
D4	5	358	WT	3.5340586	-5.3026376
D12	9	193	Null	2.978531	-5.5009894
G8	8	358	HET	0.86979014	-2.3127034
D4	5	358	WT	3.0133631	-6.4012446
G4	24	388	WT	4.584967	-3.63687
B3	20	77	WT	0.86331236	-5.200456
F7	24	40	HET	5.197387	-2.3794386
G11	3	142	Null	0.12241752	-0.4640037
G4	25	388	WT	4.804635	-4.196439
G4	24	388	WT	0.6862448	-4.1851335
B12	24	200	Null	1.1636523	-3.9917142
D6	20	99	HET	4.716589	-0.1833141
G3	17	248	WT	0.8232104	-3.5204394
B4	20	219	WT	3.007593	-5.16303
F4	17	284	WT	2.1420598	-3.6867347
C12	12	321	Null	3.9688194	-4.906632
G10	4	72	Null	3.7405896	-0.37754616
G4	14	388	WT	3.5786974	-1.9552697
B5	8	45	HET	1.3845413	-0.9386812
F11	13	100	Null	4.826846	-3.8334234
C3	23	138	WT	4.336344	-3.5181816
B3	25	77	WT	3.61601	-4.7737546
C12	12	321	Null	4.366789	-2.0892098
G8	24	358	HET	4.028788	-3.6687791
F3	12	174	WT	2.471058	-2.8396616
F6	20	117	HET	1.7503144	0.27827463
D12	4	193	Null	4.450339	-3.262445
G8	15	358	HET	3.4327114	-5.873443
G11	10	142	Null	2.4016385	-4.0973754
E12	13	328	Null	3.3426938	-3.9014688
D6	20	99	HET	3.6786513	-0.17049533
B4	4	219	WT	4.2030854	-3.6009197
G4	4	388	WT	2.9319594	-3.67584
G4	24	388	WT	2.371694	-3.9656687
B1	17	30	WT	2.5199692	-0.4412831
F12	14	125	Null	0.724118	-3.4070475
G4	17	388	WT	3.1696281	-5.00497
E3	9	156	WT	3.7038887	-3.8286793
E2	22	60	WT	3.7685502	1.0693619
B1	3	30	WT	3.2184675	-0.56950086
D4	9	358	WT	2.8004527	-5.27328
E12	8	328	Null	3.67918	-4.639904
G3	4	248	WT	5.1662703	-3.6623042
G8	25	358	HET	0.7795927	-1.2790611
D4	23	358	WT	4.3826785	-4.5958242
D7	25	76	HET	2.6562226	-2.4023569
F4	15	284	WT	3.4360425	-4.859698
F3	14	174	WT	1.695683	-3.8647947
G11	19	142	Null	1.0435874	-1.3308594
E2	6	60	WT	4.803093	-0.83446467
D4	19	358	WT	3.7146747	-5.17984
E12	3	328	Null	2.4081478	-4.235667
G2	1	94	WT	3.9911835	-1.0113142
E12	13	328	Null	2.4193454	-3.5459077
B9	7	47	Null	4.6772265	-1.0576967
E11	25	59	Null	0.019753963	-1.9036161
F9	15	36	Null	3.293996	-0.3076516
G2	6	94	WT	3.4448373	0.8594731
G4	20	388	WT	2.6095705	-3.556985
E11	4	59	Null	1.7824786	-3.3433094
D4	3	358	WT	0.45757708	-4.9830184
D12	19	193	Null	0.74004525	-2.109729
G6	13	125	HET	4.028529	0.9034451
E3	9	156	WT	1.9297076	-3.9920971
D12	10	193	Null	0.7459178	-1.6812038
D6	21	99	HET	3.9707437	0.26168182
C7	20	54	HET	0.85894954	-2.2423728
F4	25	284	WT	3.5273802	-5.6738944
D4	8	358	WT	0.5041124	-2.0510712
C12	24	321	Null	3.0355546	-3.5984933
C4	9	127	WT	4.6664066	-2.7536824
B6	7	104	HET	4.6677675	-4.1453547
G3	10	248	WT	3.7925172	-2.931382
D4	10	358	WT	0.51635635	-4.828825
G8	19	358	HET	0.8302352	-2.2089663
D3	9	168	WT	4.5986013	-3.441631
B4	13	219	WT	0.89788306	-5.038488
E12	5	328	Null	0.7289608	-1.6232016
G5	23	66	HET	3.2107549	-0.87293035
F6	1	117	HET	3.7961984	0.420535
G10	24	72	Null	0.86319935	0.017158268
C3	25	138	WT	-0.4528375	-0.13609777
E12	10	328	Null	3.2997198	-3.7557259
D8	15	122	HET	2.3834984	-2.5818655
G8	21	358	HET	2.2600024	-2.2514925
E5	12	53	HET	4.756879	-1.3376
G11	23	142	Null	2.0062513	-2.927592
C12	14	321	Null	4.4993463	-3.978743
F4	10	284	WT	0.20493762	-0.6647611
F11	10	100	Null	0.7722721	-1.3918331
C6	2	98	HET	2.1269054	-0.6812957
G4	8	388	WT	3.8624024	-4.531158
F11	23	100	Null	1.8339417	-3.1277807
D4	18	358	WT	2.2095933	-4.6126575
F11	23	100	Null	2.5485113	-3.5773015
D3	22	168	WT	5.1069818	-2.9462848
F3	8	174	WT	-1.9356782	-3.6343515
G4	12	388	WT	2.8335977	-5.597571
E4	5	246	WT	4.011942	-3.921577
E10	2	74	Null	3.410706	0.934028
D4	8	358	WT	5.21961	-3.023603
F4	10	284	WT	1.5612271	-1.995377
G7	7	82	HET	0.5892261	-2.824434
F6	4	117	HET	3.8604386	-0.0760262
G8	23	358	HET	1.7508188	-4.4107857
G8	10	358	HET	1.416194	-2.4824781
E3	12	156	WT	4.7689095	-2.9766688
G3	11	248	WT	0.38168108	-4.350576
B2	6	55	WT	4.7147684	-0.1598393
D7	25	76	HET	0.45407012	-1.091317
G8	21	358	HET	0.46675596	-2.3961656
G8	10	358	HET	3.3846796	-5.0872803
B12	9	200	Null	4.4207993	-4.0335016
E10	21	74	Null	2.8039198	-1.3503351
D4	2	358	WT	1.3042119	-4.976234
F2	15	91	WT	4.228867	-0.3278132
F6	2	117	HET	3.787993	-0.3688244
F4	18	284	WT	4.523036	-4.099625
F6	5	117	HET	3.7275329	-0.51711303
G11	25	142	Null	2.4042912	-4.3158965
F3	3	174	WT	0.5630093	-3.2355824
D12	4	193	Null	3.401026	-2.7605736
D10	1	51	Null	3.6393452	-0.58579516
B9	1	47	Null	3.9998102	-1.3054318
G6	10	125	HET	4.0850096	-0.4823474
G4	9	388	WT	0.74783677	-2.486077
F10	10	66	Null	0.106351316	0.50562567
F2	5	91	WT	4.882066	-0.2181567
D11	10	100	Null	1.6904567	-3.7357957
D12	13	193	Null	4.70027	-4.193191
G3	5	248	WT	2.1625495	-3.6938837
G8	8	358	HET	4.1014104	-3.230671
E2	11	60	WT	3.670455	0.980057
E11	13	59	Null	2.8893251	-2.4586778
C12	19	321	Null	2.1169784	-4.4199963
C12	20	321	Null	2.4203448	-5.2222204
D5	6	39	HET	2.5821621	-0.94699824
G4	5	388	WT	4.6951222	-3.8993282
D12	24	193	Null	3.4076173	-3.7453918
G11	22	142	Null	2.902093	-2.0415714
F12	9	125	Null	4.3153334	-4.3929663
G8	14	358	HET	0.04751548	-3.3455486
F5	20	47	HET	2.086027	0.20255439
G12	23	187	Null	3.1224184	-2.9710884
G3	18	248	WT	3.721158	-2.1455317
B9	17	47	Null	1.8809426	-0.11861905
B4	22	219	WT	0.5893504	-5.116178
C7	24	54	HET	0.64593184	-3.254099
D3	19	168	WT	1.4530437	-2.334185
E3	21	156	WT	-0.123855755	-4.075519
F6	2	117	HET	2.4142559	-0.10921679
D1	6	47	WT	1.7215867	-2.4107068
F4	10	284	WT	2.230076	-5.396582
G6	15	125	HET	3.6503084	0.60932523
B2	21	55	WT	2.660203	0.45838246
C12	19	321	Null	2.5886028	-1.7645618
D11	2	100	Null	3.2068655	-2.2727382
G3	3	248	WT	1.5790195	-4.786915
D4	19	358	WT	3.324925	-3.168502
G8	4	358	HET	3.5402668	-2.1342518
D8	14	122	HET	1.2016394	-2.254889
D1	7	47	WT	3.4316325	-2.565315
D4	20	358	WT	3.2643015	-3.1753676
F3	9	174	WT	4.059484	-2.396911
G10	17	72	Null	3.5302544	-0.7245203
E9	15	26	Null	4.2094035	-0.20130783
B10	21	49	Null	3.11768	-1.8427821
D8	15	122	HET	0.83722156	-2.6620677
B10	13	49	Null	2.2723444	-0.6206698
C9	1	42	Null	3.3668425	-0.597978
D11	15	100	Null	4.2429943	-3.6867826
B4	23	219	WT	5.216034	-2.8708937
F3	17	174	WT	0.52282083	-1.686323
G4	9	388	WT	1.3800894	-2.520437
E12	23	328	Null	4.253545	-4.6862965
E2	7	60	WT	4.325802	-1.0879472
B4	5	219	WT	2.3821223	-4.314576
G1	13	27	WT	4.1569943	-1.052786
C4	25	127	WT	3.051249	-5.45202
F4	4	284	WT	3.4039168	-2.9392745
B4	10	219	WT	1.0784596	-4.1077285
G6	15	125	HET	2.5138652	-0.006174714
F7	20	40	HET	2.6965628	-2.5458753
B4	25	219	WT	5.1620035	-3.3772733
E2	21	60	WT	2.6671991	-0.82266915
D4	13	358	WT	1.4780029	-4.623231
E6	14	94	HET	2.944799	-0.35813048
E5	2	53	HET	1.4970465	-3.2130053
E3	5	156	WT	5.3166037	-2.2937455
D4	25	358	WT	1.9646976	-2.8785083
C6	7	98	HET	0.16580148	-0.02110684
E12	14	328	Null	2.087876	-5.1613283
B6	1	104	HET	4.544335	-1.3197992
E4	13	246	WT	3.8143256	-3.7741952
C3	25	138	WT	4.812395	-2.4116623
F3	22	174	WT	1.2523053	-4.6226068
B7	19	33	HET	1.9962808	-3.1301062
E12	24	328	Null	2.718229	-5.241651
F12	25	125	Null	4.1297383	-3.9076202
F5	21	47	HET	0.6049622	-4.535878
C11	23	54	Null	1.1426898	-2.0836358
C12	10	321	Null	3.3430307	-3.2075708
D12	20	193	Null	2.4897366	-2.567339
G8	13	358	HET	3.3121603	-3.4185681
G4	10	388	WT	4.494718	-5.0292206
F6	12	117	HET	3.8732107	0.61916935
B4	8	219	WT	0.3233462	-4.7895203
E3	16	156	WT	4.5685678	-2.627659
C6	5	98	HET	0.3664432	0.53252625
G6	8	125	HET	3.4303837	0.5399361
F4	10	284	WT	-1.9539701	-3.6364095
F3	12	174	WT	4.19678	-3.5080357
F3	24	174	WT	3.4405594	-2.9012291
C1	13	33	WT	3.7761648	0.67527765
G8	4	358	HET	1.9050374	-4.7045283
G4	4	388	WT	3.077304	-6.503564
D3	23	168	WT	1.449178	-4.4160705
G8	13	358	HET	1.8461334	-2.1763813
D12	23	193	Null	0.1737071	-3.447003
G4	17	388	WT	2.5493777	-4.965844
D8	14	122	HET	0.6149518	-5.3835235
F4	4	284	WT	2.314189	-4.141091
F10	19	66	Null	3.7117517	-0.6634119
E3	15	156	WT	0.65072745	-4.567757
F2	12	91	WT	2.8157494	-0.53938144
E3	20	156	WT	0.11800296	-0.6451641
B8	25	107	HET	3.6860948	-5.182834
G11	20	142	Null	3.77603	-3.5323818
E3	12	156	WT	0.35635555	-4.7888055
B5	6	45	HET	3.686563	0.87108594
D8	14	122	HET	0.99178624	-4.0122967
G8	11	358	HET	1.4725924	-1.8165098
D3	10	168	WT	5.0719934	-3.482824
C3	23	138	WT	5.2440434	-2.713451
C3	9	138	WT	4.8052683	-3.5034761
C11	18	54	Null	1.8288008	-4.434685
D8	18	122	HET	0.7853004	-2.2273803
C4	20	127	WT	1.1752207	-2.678674
D12	5	193	Null	3.6355546	-3.6942232
E2	23	60	WT	3.5005453	-0.6779817
B11	24	53	Null	2.598044	-2.2321563
E9	6	26	Null	3.4736218	-0.7218506
E12	19	328	Null	4.333179	-3.2532797
E11	19	59	Null	1.3889022	-5.044442
B6	20	104	HET	3.2869716	-0.112946175
F6	14	117	HET	-0.005556628	0.48665577
G3	5	248	WT	5.585636	-2.7578835
E12	15	328	Null	3.7829103	-5.371596
B8	25	107	HET	2.3628442	-3.2903867
D11	10	100	Null	3.48248	-2.615793
G2	1	94	WT	1.4951246	0.123216055
E3	13	156	WT	2.0062518	-3.5369654
E12	12	328	Null	1.774773	-4.8737845
C12	7	321	Null	1.7965769	-4.7811227
B6	1	104	HET	3.3602955	0.70334214
F6	18	117	HET	3.262858	0.29096085
C5	21	29	HET	-0.22708593	-2.9583015
F3	19	174	WT	1.3387991	-4.6401496
F3	12	174	WT	4.4259853	-2.5499504
D4	25	358	WT	4.7139797	-4.338715
D12	24	193	Null	2.6195376	-4.6098285
B8	24	107	HET	2.5569692	-2.254463
C1	22	33	WT	1.999098	-3.0666165
E11	9	59	Null	1.9416394	-1.3405477
F6	23	117	HET	4.0879164	-0.59792596
B4	19	219	WT	0.29830173	-3.411037
G10	17	72	Null	4.316001	-0.010623606
G8	17	358	HET	-0.03119805	-2.946452
D12	23	193	Null	-0.104805835	0.23963994
G4	7	388	WT	-0.36387545	-0.20917982
C5	9	29	HET	2.9263184	0.6148395
C12	15	321	Null	4.2822437	-4.7010274
G4	4	388	WT	3.474607	-7.5253434
E3	20	156	WT	0.687959	-1.8206447
G11	3	142	Null	1.395071	-1.5000429
G11	20	142	Null	2.552219	-2.4464843
B3	20	77	WT	1.8749378	-2.7774544
B4	22	219	WT	4.826228	-3.1518881
D3	5	168	WT	-0.21923332	-3.100974
D8	18	122	HET	0.50194705	-2.244293
E2	22	60	WT	3.9294155	-1.2513156
B12	19	200	Null	2.5322745	-5.9045067
G11	5	142	Null	4.0535836	-3.9912622
D12	9	193	Null	3.1923008	-5.6513495
G10	22	72	Null	-1.9929165	-3.639101
F4	10	284	WT	0.18649328	-0.6788511
E12	8	328	Null	0.94718575	-2.5522006
C4	19	127	WT	0.32275087	-1.2513715
E12	14	328	Null	3.8775456	-4.481446
B10	21	49	Null	0.08413345	-0.1558435
D12	15	193	Null	1.9931741	-5.3279347
G8	10	358	HET	1.5056986	-5.040278
D8	25	122	HET	0.6614055	-2.6100836
C12	14	321	Null	3.7507737	-0.065354586
D3	3	168	WT	2.3605983	-4.1267633
G4	15	388	WT	1.9076232	-3.2457721
G4	24	388	WT	2.6025703	-5.091099
G2	5	94	WT	2.4798737	-0.05555853
B12	14	200	Null	2.533294	-5.331173
E7	10	37	HET	5.121927	-2.3434694
E4	5	246	WT	4.451088	-3.5804844
G9	4	44	Null	2.202155	-0.28729597
B12	25	200	Null	3.5764518	-3.7929325
D10	2	51	Null	2.9099994	-0.5092619
F6	14	117	HET	0.28866318	0.48767376
B4	17	219	WT	2.0024228	-2.276202
B2	5	55	WT	3.8157187	0.019223843
E3	7	156	WT	2.6591446	-5.379941
C12	24	321	Null	3.7558477	-3.4668267
E6	5	94	HET	0.73559695	0.46753806
E12	25	328	Null	3.931049	-4.2471476
G3	13	248	WT	1.0468552	-3.357772
F7	10	40	HET	2.7180414	-2.1248143
D4	7	358	WT	0.954144	-1.826262
B11	4	53	Null	2.0809448	-3.9238815
B5	11	45	HET	4.613298	0.36850068
D3	19	168	WT	2.3364275	-2.753585
B4	25	219	WT	1.1907797	-0.4374381
G5	8	66	HET	3.283416	1.1652553
B1	17	30	WT	3.9583292	-0.7638379
D3	22	168	WT	1.7196678	-4.520709
C3	9	138	WT	4.6631794	-2.8312
G8	4	358	HET	3.8223798	-3.5953588
G8	15	358	HET	0.94543123	-4.35784
G8	14	358	HET	0.57776254	-4.036944
G8	20	358	HET	1.1154205	-2.046613
G4	19	388	WT	3.035541	-5.837325
E6	8	94	HET	3.8875277	0.9027674
B8	23	107	HET	2.164522	-3.2479181
B12	16	200	Null	1.4587971	-5.114219
F2	20	91	WT	2.0737894	0.23646042
G7	25	82	HET	4.679481	-3.6297684
B8	23	107	HET	2.7958066	-2.8501947
C3	25	138	WT	3.2050283	-2.5790703
B11	23	53	Null	2.7825007	-4.346431
C3	8	138	WT	4.3131113	-2.92256
B5	15	45	HET	4.947103	-0.75283664
F10	25	66	Null	3.9658723	-0.1381331
E12	4	328	Null	3.1493373	-5.966836
C3	10	138	WT	3.482497	-3.8254638
C5	14	29	HET	3.3098545	0.87927276
E3	14	156	WT	2.0151403	-3.2864964
B10	12	49	Null	3.0473917	-0.80785495
E12	8	328	Null	1.8861873	-5.2229867
G3	12	248	WT	1.0487193	-0.6290864
D2	20	44	WT	2.7069705	-0.014844982
E4	23	246	WT	0.6173322	-1.8238813
C10	1	45	Null	3.319205	-0.9968888
E6	4	94	HET	2.7482314	-0.22098793
G9	11	44	Null	3.2383976	-0.99482024
G4	18	388	WT	1.3251779	-4.790941
B2	17	55	WT	4.0238037	-0.9880086
C12	9	321	Null	3.78861	-4.517481
G4	4	388	WT	1.1298506	-5.3952575
D2	25	44	WT	3.7107325	-0.55224866
E12	4	328	Null	3.4178526	-5.4978247
B6	12	104	HET	4.1590667	-1.3134478
F2	5	91	WT	4.9007277	-0.22210896
F6	15	117	HET	3.8451667	0.0015117181
C2	14	42	WT	3.7648551	0.95640206
E4	25	246	WT	3.3420935	-6.99455
C3	24	138	WT	4.6737814	-2.987456
C12	18	321	Null	4.1276445	-3.7819014
B8	24	107	HET	0.937838	-4.462708
F3	21	174	WT	0.8413729	-5.247265
G6	1	125	HET	3.076502	-0.35133776
G12	14	187	Null	2.0217721	-2.3706868
E4	24	246	WT	4.597478	-3.7650557
D4	18	358	WT	3.428937	-7.251011
F11	7	100	Null	5.6180277	-2.445292
G3	22	248	WT	4.0084677	-3.3333807
C12	10	321	Null	3.7832766	-2.032545
F11	13	100	Null	0.5833939	-1.1600963
G5	19	66	HET	3.7115407	-1.4743279
F11	18	100	Null	0.98384565	-1.4045255
D4	15	358	WT	1.5359665	-5.5661755
G4	19	388	WT	3.2969458	-6.711526
F3	17	174	WT	5.2125325	-2.789955
E12	19	328	Null	3.4687626	-4.379426
E3	22	156	WT	-0.010194342	-4.157374
G12	14	187	Null	3.1944253	-2.828539
B2	7	55	WT	2.9611113	-0.84639484
B10	8	49	Null	2.4865582	-0.3885524
E9	13	26	Null	3.334149	-1.0201877
D12	15	193	Null	2.2556956	-5.497259
E1	20	20	WT	4.6991973	-0.2986267
F4	15	284	WT	2.6055381	-4.065181
E3	17	156	WT	0.4326046	-4.9457498
G8	4	358	HET	2.8336515	-3.4619596
D4	17	358	WT	1.5643965	-3.2770689
G4	12	388	WT	4.325896	-5.1973343
F11	23	100	Null	2.304233	-1.612852
C3	25	138	WT	0.74766815	-4.4827833
B4	25	219	WT	2.9681847	-3.2112439
F3	3	174	WT	1.234428	-4.6032486
E12	3	328	Null	2.9970412	-4.592413
F4	22	284	WT	2.9897916	-5.3903074
B8	25	107	HET	0.8989297	-3.8307989
E3	24	156	WT	4.1899433	-2.9846852
C4	24	127	WT	4.7528434	-4.2000527
G3	18	248	WT	2.0315502	-3.9291625
G4	17	388	WT	4.8042865	-3.3830464
D1	21	47	WT	3.7054183	0.84612894
B9	5	47	Null	3.8420453	-0.41354212
D4	18	358	WT	1.378667	-4.0702157
G4	23	388	WT	0.88143647	-1.8137441
E4	25	246	WT	2.2098765	-4.302437
B4	22	219	WT	0.27807865	-5.202727
G8	15	358	HET	0.7957503	-2.564622
G4	6	388	WT	3.2723544	-3.2995625
B4	19	219	WT	2.386782	-4.273982
