Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
F12	18	125	Null	1.2261565	-3.971044
F12	14	125	Null	0.036415175	-2.4978204
D4	9	358	WT	1.2007147	-4.817776
D5	18	39	HET	2.0404687	-0.98885745
B2	16	55	WT	4.447502	0.76124007
F11	14	100	Null	5.03659	-2.613623
G3	24	248	WT	2.3527756	-2.5973732
E7	20	37	HET	0.08266089	-0.87102675
G8	19	358	HET	4.159321	-2.1321318
G4	4	388	WT	5.0856724	-3.5028727
D6	3	99	HET	4.1373672	0.9899262
E10	3	74	Null	0.9451072	0.49911913
B4	5	219	WT	4.927364	-3.7553666
B6	16	104	HET	1.6749378	-3.465868
F4	25	284	WT	2.9417958	-6.466888
G7	9	82	HET	0.75285697	-1.234711
D6	12	99	HET	3.2436872	0.78392255
E11	19	59	Null	3.068258	-2.2712173
G11	25	142	Null	2.5321028	-3.472466
F4	8	284	WT	0.63707334	-4.446887
F3	10	174	WT	0.7457497	-5.0544543
C12	14	321	Null	3.0858603	-3.3990452
G3	25	248	WT	3.932886	-2.740839
D3	10	168	WT	1.8872575	-3.580526
G4	15	388	WT	2.2184157	-2.747989
E3	7	156	WT	3.2372942	-2.2468994
B8	25	107	HET	0.44322747	-1.295267
D5	5	39	HET	4.201861	-0.48192862
D8	15	122	HET	2.906392	-3.0446498
G8	23	358	HET	4.141295	-3.7901888
F4	15	284	WT	1.5149316	-3.7785826
D6	23	99	HET	4.3470626	0.7854431
B10	11	49	Null	2.6200979	-0.2257999
E4	19	246	WT	3.9275007	-5.2102895
D12	25	193	Null	3.31428	-3.592817
B12	24	200	Null	3.3606267	-4.2641177
G8	14	358	HET	0.63058203	-2.0232084
F4	9	284	WT	3.0027788	-2.690336
F12	18	125	Null	0.42615676	-1.9394659
D4	5	358	WT	2.0610209	-4.804119
C10	22	45	Null	2.5785465	-0.6199927
F10	20	66	Null	1.9596409	0.35323408
F7	25	40	HET	3.5368497	-2.689671
F4	15	284	WT	0.32508337	-1.4809991
B2	15	55	WT	3.887071	-0.3074745
D4	7	358	WT	1.9007138	-2.4805732
F4	17	284	WT	1.5778607	-5.7646217
E4	4	246	WT	4.7047534	-4.3996015
C6	5	98	HET	3.9538865	-0.6941282
F9	20	36	Null	2.2025175	-0.39045048
D6	20	99	HET	3.877251	0.20765714
B2	22	55	WT	3.1536736	-0.3122054
G6	8	125	HET	4.5931673	0.34206554
D4	15	358	WT	0.00030842755	-2.7924955
G3	12	248	WT	5.1099796	-2.9801369
G7	7	82	HET	-1.1978672	-3.610334
D11	13	100	Null	1.3392171	-1.7824984
G6	25	125	HET	3.7802415	-0.42709947
F2	13	91	WT	2.856882	-0.02339948
C12	8	321	Null	2.8603892	-4.077485
F3	15	174	WT	2.3459635	-3.4783251
E3	21	156	WT	0.93191355	-3.0570834
C6	5	98	HET	3.4812114	1.1820498
D12	9	193	Null	3.4962654	-5.1928906
G4	10	388	WT	1.0222505	-2.441511
G9	11	44	Null	3.6347637	-1.4511663
F3	18	174	WT	1.6988131	-4.082087
G12	20	187	Null	3.8980823	-3.6712027
E3	13	156	WT	2.2069154	-3.4901927
F10	22	66	Null	4.240571	0.32617015
D9	21	24	Null	4.474292	0.09348006
D3	21	168	WT	3.108941	-3.687646
C12	18	321	Null	4.841802	-3.5574002
G12	8	187	Null	3.7741215	-3.0128007
E3	12	156	WT	3.5042522	-2.539401
F4	22	284	WT	0.79638904	-4.6962495
C7	20	54	HET	0.5704547	-3.2338355
C12	3	321	Null	4.1142044	-4.9902635
C6	1	98	HET	2.066204	-0.82446927
F10	4	66	Null	4.119285	-0.40617743
F10	22	66	Null	4.30718	-0.019384947
D12	24	193	Null	0.6189722	-1.523698
E3	20	156	WT	0.9325337	-1.8766998
C10	21	45	Null	2.8757253	-1.1491739
G8	14	358	HET	2.17466	-4.605835
D8	25	122	HET	3.4990103	-7.8674
B6	11	104	HET	3.1200576	-0.8183953
B2	1	55	WT	3.8053994	-0.09145438
E7	20	37	HET	2.70223	-2.3378193
E12	14	328	Null	2.382912	-2.7338014
G8	10	358	HET	0.15670796	-2.4843657
G8	25	358	HET	0.987812	-3.7554083
E6	12	94	HET	3.1570492	-0.64139014
C4	9	127	WT	4.597499	-3.6250849
D4	19	358	WT	1.6278806	-5.560931
G10	4	72	Null	2.7939975	-0.054285623
D9	9	24	Null	3.1751823	0.13909131
G8	8	358	HET	0.58531743	-2.4557633
F6	4	117	HET	3.5390348	0.04100079
E12	17	328	Null	3.6645596	-4.0454803
G4	23	388	WT	0.97546643	-3.656727
F11	8	100	Null	3.3246138	-2.749157
D4	15	358	WT	3.3698485	-5.877392
D12	22	193	Null	0.895437	-4.610199
C11	10	54	Null	4.8802667	-2.6394732
F9	17	36	Null	3.1231737	-1.2784061
E12	19	328	Null	-0.44335416	-0.12536538
B9	6	47	Null	2.8617458	-1.1602236
C12	21	321	Null	2.385323	-3.307993
D4	8	358	WT	3.6753066	-3.4215958
F6	16	117	HET	3.1897182	1.0224645
B12	4	200	Null	3.5986176	-5.6746635
C10	2	45	Null	3.6431913	-0.9625758
G12	25	187	Null	2.2746403	-3.057686
F4	9	284	WT	3.9493642	-3.3040833
B12	9	200	Null	3.1250951	-5.140272
B4	5	219	WT	1.6136765	-3.937819
B3	20	77	WT	2.9310296	-4.5660186
F12	14	125	Null	3.7333896	-3.9322243
G2	23	94	WT	4.2003675	-0.6393475
D11	14	100	Null	0.23991273	-3.467734
G8	14	358	HET	3.240255	-4.3854804
E3	10	156	WT	4.8840203	-2.9663744
C12	25	321	Null	3.043651	-3.0341153
G8	14	358	HET	0.08890821	-4.0514627
C12	8	321	Null	3.023443	-1.5930347
G8	19	358	HET	1.8510485	-3.8438327
