Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	8	F12	Null	647	2.1615813	-1.3757423
Plate_3	4	G12	Null	481	2.8892128	-1.6175529
Plate_5	15	F12	Null	125	0.6932914	-2.5982623
Plate_3	25	C12	Null	570	3.8214712	-2.1796918
Plate_5	16	F10	Null	152	2.1778781	-3.7280285
Plate_3	1	D4	WT	636	2.77361	-1.9390669
Plate_3	15	F11	Null	329	1.1166644	0.73483527
Plate_5	10	F2	WT	111	3.8069093	-1.6284047
Plate_5	10	C11	Null	154	2.9536474	-1.6282651
Plate_3_prime	3	C12	Null	321	3.0806937	0.03901274
Plate_3	15	B12	Null	531	2.8282685	-1.1172764
Plate_5	7	D2	WT	98	3.6566212	-2.1652498
Plate_3_prime	25	F11	Null	100	1.0250702	-2.0650187
Plate_3	5	F12	Null	647	3.4329374	0.4248045
Plate_3_prime	23	B12	Null	200	0.8734931	-2.8640394
Plate_3	12	B12	Null	531	4.160026	-1.3184102
Plate_3	17	E12	Null	607	-0.7431297	-0.5352467
Plate_5	7	B9	Null	173	1.7140774	-2.0471985
Plate_3	3	E12	Null	607	3.628773	-0.7143769
Plate_3	19	D4	WT	636	3.8961475	-0.85220504
Plate_3	25	D9	Null	51	-1.1621675	1.2317812
Plate_3_prime	24	B3	WT	77	2.1049504	-3.4435363
Plate_5	9	C1	WT	66	0.99861366	3.041396
Plate_3	1	C11	Null	281	-0.5200712	0.42449775
Plate_3	18	G4	WT	386	1.7224671	-2.794405
Plate_5	15	B3	WT	79	2.6317487	0.56138957
Plate_3	8	G12	Null	481	0.8124626	-1.7092751
Plate_3	17	F11	Null	329	2.2175112	-1.7498674
Plate_3	3	E12	Null	607	1.5042453	1.0798179
Plate_3	9	D2	WT	152	1.0691891	0.39155293
Plate_5	11	D11	Null	178	2.5176566	1.320655
Plate_3_prime	6	G2	WT	94	0.14164294	2.2522066
Plate_5	2	B10	Null	155	1.4869825	-1.5202941
Plate_3_prime	22	F10	Null	66	-0.13139999	-0.030440582
Plate_3	4	C3	WT	346	2.9157717	-1.6725217
Plate_3_prime	9	C4	WT	127	1.1986598	2.2225823
Plate_3_prime	23	D4	WT	358	4.3513517	0.9513009
Plate_5	10	G2	WT	125	3.8709896	-2.633656
Plate_3_prime	9	D12	Null	193	3.119638	-2.4351802
Plate_3_prime	7	C12	Null	321	1.7263043	0.93340313
Plate_3	20	G12	Null	481	3.7017932	-0.4418282
Plate_3	4	B10	Null	86	1.071968	1.1436939
Plate_3	14	B1	WT	45	0.64452547	-3.098843
Plate_3	17	D12	Null	623	2.6086648	-0.66074574
Plate_3	20	F11	Null	329	3.0950189	-1.217076
Plate_3	10	B12	Null	531	4.5878296	0.58880335
Plate_5	3	C9	Null	156	2.1851134	-3.006757
Plate_5	5	E2	WT	102	0.85836446	1.4800473
Plate_3	21	B12	Null	531	-0.22356024	1.7783536
Plate_5	1	E10	Null	132	-1.2790209	0.050948035
Plate_3_prime	13	F11	Null	100	-0.91961676	-1.4378363
Plate_5	13	G10	Null	129	-1.8605814	0.838961
Plate_3	2	C12	Null	570	-0.07958593	-1.7499446
Plate_3	1	E10	Null	118	1.4628835	-1.8743945
Plate_3_prime	25	D4	WT	358	2.1827352	1.9444665
Plate_3	9	C9	Null	61	1.569344	0.5457093
Plate_3	9	C11	Null	281	2.3942924	-0.58054584
Plate_5	21	F11	Null	135	1.8998424	-2.2964704
Plate_3	8	G4	WT	386	0.28288162	0.058522936
Plate_5	7	G10	Null	129	-1.7485706	0.6964918
Plate_3	5	B12	Null	531	0.37486002	2.7552853
Plate_3	5	F12	Null	647	3.8101914	-1.1069156
Plate_3	23	G11	Null	250	0.03954781	0.9232454
Plate_3	19	B11	Null	279	3.0886507	-2.0990918
Plate_3	22	E3	WT	168	0.5020838	2.6456041
Plate_3	7	D3	WT	305	1.8510933	-0.89562637
Plate_5	17	G2	WT	125	0.70508796	0.6303086
Plate_5	7	G3	WT	121	2.4774861	0.40213078
Plate_5	7	E3	WT	122	3.5888422	-1.380836
Plate_5	10	C9	Null	156	-2.007783	-1.3354416
Plate_5	17	C3	WT	117	1.3856555	-2.3388638
Plate_5	21	E10	Null	132	0.57252824	1.541951
Plate_5	10	F2	WT	111	-0.9345418	0.8870167
Plate_3_prime	25	D12	Null	193	3.7895923	-0.5651916
Plate_3_prime	13	F4	WT	284	2.4604564	-3.7195747
Plate_3_prime	13	C12	Null	321	6.0889516	1.2319374
Plate_5	17	D9	Null	135	-0.08771086	-2.0430348
Plate_3	19	G12	Null	481	2.1918802	-1.2872816
Plate_3	9	E10	Null	118	2.136945	-0.3453838
Plate_3	1	B11	Null	279	0.900051	0.302739
Plate_5	21	G12	Null	121	1.7585224	0.078035414
Plate_3	13	E12	Null	607	-2.8465333	-1.5242344
Plate_3	18	C12	Null	570	1.0427895	2.1422746
Plate_3_prime	18	D3	WT	168	2.0911682	-1.9084274
Plate_3	11	B11	Null	279	-1.9015985	0.93004215
Plate_3	2	G2	WT	52	-0.70834774	1.232901
Plate_3	2	F12	Null	647	5.5749865	0.81097084
Plate_5	10	G2	WT	125	-1.5649737	0.60332483
Plate_3_prime	23	C12	Null	321	2.093206	0.64134496
Plate_5	20	G4	WT	100	1.4231337	-0.5668203
Plate_3_prime	3	E12	Null	328	1.019949	1.0080355
Plate_3	12	F12	Null	647	0.112392396	1.0139617
Plate_3_prime	18	E12	Null	328	1.5112871	0.11269935
Plate_3	13	C4	WT	666	1.1476374	-0.55399954
Plate_5	6	C3	WT	117	1.5698831	-2.8903127
Plate_5	21	E4	WT	86	0.4303078	1.8681206
Plate_3_prime	11	D1	WT	47	1.2847676	0.960747
Plate_5	17	F2	WT	111	3.5701258	-0.52399176
Plate_5	15	D4	WT	102	2.7593954	-0.18513791
Plate_3	13	B4	WT	559	-2.6703763	-1.736674
Plate_3	21	G2	WT	52	-0.16178492	-0.57619786
Plate_3	8	B12	Null	531	1.3815907	0.2593887
Plate_5	12	B12	Null	148	2.53676	-2.8120937
Plate_5	6	B2	WT	97	3.7290928	-1.1122698
Plate_5	13	F9	Null	149	1.0095897	-3.6354535
