Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_5	6	C3	WT	117	-0.63808095	3.5528796
Plate_3	25	D1	WT	34	-0.2131406	3.7491155
Plate_3	3	C4	WT	666	-2.6128645	0.26434597
Plate_3	9	B4	WT	559	0.41548657	2.223214
Plate_3	16	B4	WT	559	0.35352284	-2.4665132
Plate_5	18	G1	WT	71	1.4566741	2.0721776
Plate_5	4	E10	Null	132	-0.41268057	-0.93480337
Plate_3	9	G4	WT	386	1.0800655	2.8349679
Plate_5	2	D12	Null	106	0.74965554	2.430627
Plate_5	18	F2	WT	111	0.07916906	-1.2170329
Plate_3_prime	10	F4	WT	284	2.3198915	1.3071522
Plate_3	8	B1	WT	43	-3.212659	2.3103359
Plate_3_prime	18	D4	WT	358	3.6336458	0.73892456
Plate_5	2	E4	WT	85	-2.2235882	2.4118538
Plate_5	3	C9	Null	156	0.9182616	-1.1988407
Plate_3_prime	18	D4	WT	358	0.93689877	1.3009853
Plate_3	13	F2	WT	70	-1.5385934	3.6024535
Plate_3	4	G10	Null	117	-2.649676	-0.33777705
Plate_3	21	G4	WT	386	-2.2275245	1.4408989
Plate_3_prime	20	E12	Null	328	0.24630107	3.6026802
Plate_3_prime	15	F3	WT	174	-0.27935347	-1.8243932
Plate_5	4	E1	WT	100	-0.045681145	2.4633691
Plate_5	13	D3	WT	128	0.81609046	-0.6729226
Plate_3_prime	22	C1	WT	28	-3.2876887	2.9115977
Plate_3	25	C12	Null	570	5.775173	0.075413406
Plate_5	1	F11	Null	135	-0.8484307	-0.54221755
Plate_5	17	C4	WT	103	-0.14523631	4.0501704
Plate_3_prime	13	E12	Null	328	-1.4826264	0.7159521
Plate_3_prime	18	D3	WT	168	-0.7309541	2.6321816
Plate_5	1	B3	WT	77	0.8157195	-0.6862725
Plate_3_prime	2	E3	WT	155	-0.3051543	-1.9624597
Plate_3	18	G12	Null	481	1.018554	1.1551737
Plate_3_prime	4	F11	Null	100	-0.66982913	-1.0010251
Plate_3_prime	25	B4	WT	219	-0.1697413	0.14262329
Plate_3_prime	19	G10	Null	72	-1.6930522	-0.45320022
Plate_3	2	B2	WT	139	-1.2798535	3.599841
Plate_3_prime	25	D12	Null	193	1.9998409	1.0306206
Plate_3	4	C4	WT	666	-2.208759	1.6768094
Plate_3	4	C11	Null	280	0.12548704	2.3513565
Plate_5	8	B11	Null	148	-0.20219918	1.088732
Plate_3	9	F4	WT	438	-1.4249926	-0.1876124
Plate_5	2	D1	WT	91	-1.8712872	-0.089739256
Plate_3	21	F12	Null	647	-1.2861813	0.92251563
Plate_3	9	B12	Null	531	0.28203645	-2.8601923
Plate_5	15	C10	Null	125	-0.32996607	4.130874
Plate_3	6	E12	Null	607	0.5778795	4.2115254
Plate_3	5	B2	WT	139	-2.0590913	0.5683765
Plate_3_prime	4	G4	WT	388	-1.0357449	2.8697815
Plate_3	7	D11	Null	216	-1.4930918	-0.03878419
Plate_5	13	B4	WT	111	0.56382895	4.1223173
Plate_3	1	F4	WT	438	-2.2216585	1.2430443
Plate_5	2	E12	Null	115	0.0797074	0.17302537
Plate_3_prime	23	D4	WT	358	-1.7010185	1.2793689
Plate_3_prime	4	G4	WT	388	3.8325224	0.6629848
Plate_5	7	C10	Null	125	-0.0627089	3.9154372
Plate_3_prime	25	E12	Null	328	-0.8164148	1.0432751
Plate_3_prime	3	G11	Null	142	0.21930861	-3.0602832
Plate_3	17	F3	WT	185	0.31082565	-3.2422543
Plate_5	14	F11	Null	135	-2.6906185	2.5938885
Plate_3_prime	24	G3	WT	248	-0.6707198	3.1322532
Plate_3	17	B3	WT	297	-2.0464964	0.9121433
Plate_5	14	G2	WT	123	1.0161008	4.0494914
Plate_5	18	G4	WT	99	-0.10205831	-0.017142355
Plate_3	11	E11	Null	331	-3.2375326	2.1565988
Plate_5	17	B9	Null	173	-2.825722	0.83994377
Plate_3	20	F11	Null	329	1.4329697	3.1890233
Plate_3	5	G4	WT	386	0.75447977	1.5468292
Plate_5	21	D9	Null	135	-0.08416768	-1.5890979
Plate_3_prime	8	G12	Null	187	-1.0713843	1.8251327
Plate_3	8	C3	WT	344	-0.12098566	1.5304545
Plate_3	14	F11	Null	329	2.133364	6.034107
Plate_3	12	B4	WT	559	1.3582073	2.5697336
Plate_5	6	E11	Null	185	-1.4267827	0.100931354
Plate_3	18	F11	Null	329	1.9872922	1.6811345
Plate_5	4	B9	Null	173	-3.0128286	0.41105658
Plate_5	11	E12	Null	115	-2.4234533	-0.5200611
Plate_3	25	F9	Null	66	-0.9491193	-1.1872078
Plate_5	3	F2	WT	111	-1.4265392	2.3316681
Plate_3	16	D12	Null	623	0.3377169	-1.0782034
Plate_3	2	B12	Null	531	0.9043316	3.3691173
Plate_3_prime	8	F11	Null	100	-0.90325004	4.506385
Plate_5	16	B9	Null	173	1.3561183	0.39914572
Plate_3_prime	3	D11	Null	100	-3.0667334	-0.3739133
Plate_3_prime	9	E12	Null	328	-0.8508758	1.0987419
Plate_3	20	F10	Null	149	1.7459064	1.938919
Plate_5	3	D1	WT	91	0.19932872	-1.7421393
Plate_3	12	G9	Null	56	-1.9584217	-0.7767119
Plate_5	4	F12	Null	124	-2.6738837	-0.084301166
Plate_3_prime	12	C12	Null	321	1.8210294	0.0025513156
Plate_3_prime	12	G4	WT	388	-1.0980271	1.8822669
Plate_3	13	C12	Null	570	2.3073494	2.5426736
Plate_5	11	B4	WT	111	-0.78189635	1.4381946
Plate_3_prime	10	F11	Null	100	0.2615321	-1.9658891
Plate_3	11	F11	Null	329	0.20688121	0.10979322
Plate_5	6	D4	WT	102	1.0302646	3.1577218
Plate_3_prime	21	G1	WT	20	-1.7524674	1.9268217
Plate_3	25	D10	Null	134	-0.6221519	-1.7951221
Plate_5	5	B12	Null	148	-0.55615175	2.4893658
Plate_5	12	E11	Null	185	-2.0272844	-1.0859473
Plate_3	12	E3	WT	168	-1.9817499	1.4775202
Plate_5	2	D10	Null	157	0.4733311	-3.3682756
Plate_5	14	G9	Null	149	-0.22067982	1.6037195
Plate_3_prime	9	D4	WT	358	0.011938168	1.5848559
Plate_3	25	F12	Null	647	0.6758697	0.21512634
Plate_3_prime	24	D12	Null	193	-0.8578386	1.5937486
Plate_5	6	B12	Null	148	-1.9224485	0.99490505
Plate_3_prime	14	B4	WT	219	-2.059353	0.33304968
Plate_3_prime	12	C12	Null	321	-0.9518955	3.568138
Plate_5	3	D11	Null	178	0.8714613	0.48394454
Plate_5	4	B11	Null	148	-1.5581869	-0.26292104
Plate_3_prime	14	E3	WT	155	-1.1683046	4.365649
Plate_3	22	E11	Null	331	0.7326483	-2.5131218
Plate_3	21	B12	Null	531	1.1040499	-1.5009291
Plate_3_prime	19	D4	WT	358	0.8441319	2.0983403
Plate_3	11	C12	Null	570	2.424832	0.83778125
Plate_3	5	F4	WT	438	2.643828	1.0712969
Plate_3_prime	4	E4	WT	246	-0.3010793	2.6614585
Plate_3	13	G12	Null	481	0.9326725	1.4070812
Plate_3	13	D3	WT	305	-1.3714354	1.038864
Plate_3_prime	9	B12	Null	200	1.7033801	0.027381035
Plate_3_prime	25	C4	WT	127	2.127143	2.027408
Plate_3_prime	10	F4	WT	284	0.9868836	3.6157036
Plate_5	7	C9	Null	156	1.3684694	3.9204535
Plate_3	10	F3	WT	185	-0.8506497	3.3907201
Plate_5	9	B9	Null	173	0.9565781	1.4045588
Plate_5	6	B3	WT	77	5.778095	0.0709521
Plate_5	19	F12	Null	124	-0.42394343	3.7956376
Plate_3	12	C4	WT	666	0.64910924	-1.6843729
Plate_3	18	B11	Null	279	1.4813361	2.642423
Plate_3_prime	18	B4	WT	219	-0.37269974	-0.4900227
Plate_3	10	E10	Null	117	-1.3582441	-0.8227649
Plate_3	16	G11	Null	250	0.7449272	2.9317403
Plate_3	13	G12	Null	481	1.1104677	2.0911682
Plate_5	18	E12	Null	115	0.9511928	-0.4954838
Plate_5	17	E10	Null	132	-1.504897	3.9719918
Plate_3	12	B12	Null	531	2.1047912	1.492176
Plate_3	6	B11	Null	279	-2.2443974	1.7541364
Plate_3_prime	15	D12	Null	193	-2.6810222	2.569877
Plate_3	24	G12	Null	481	1.1298417	0.47399488
Plate_3	2	B3	WT	297	0.52081627	-1.000876
Plate_5	21	G12	Null	121	-3.0892956	1.1238862
Plate_5	18	G2	WT	123	1.2376881	2.8923533
Plate_3_prime	15	G4	WT	388	-1.4787064	1.1199548
Plate_3	17	F10	Null	149	1.4945279	1.475711
Plate_3	1	C11	Null	280	-2.877118	-0.028849544
Plate_5	12	B4	WT	111	-0.95354915	1.6303122
Plate_3	25	C4	WT	666	1.3822675	1.2963722
Plate_3	20	B4	WT	559	-0.5729051	1.5998411
Plate_3_prime	16	F3	WT	174	-0.3578179	4.3639975
Plate_3	6	F11	Null	329	-0.8743976	3.1136825
Plate_3	7	D9	Null	48	-2.8498404	3.345009
Plate_3	19	F3	WT	185	-2.1857436	2.174108
Plate_5	8	D1	WT	91	1.3119438	3.9132376
Plate_3_prime	15	G3	WT	248	-0.33273724	3.5419357
Plate_3	18	F11	Null	329	1.3441117	2.8690386
Plate_3	25	C4	WT	666	-1.9199002	0.33085814
Plate_3_prime	23	B12	Null	200	-1.2963747	2.546456
Plate_3	24	C4	WT	666	5.7219524	0.09588637
Plate_3	2	G10	Null	117	-2.1936777	0.21603842
Plate_3_prime	22	D3	WT	168	-1.9428922	2.5145628
Plate_3	21	E12	Null	607	0.31866786	3.88621
Plate_5	3	C9	Null	156	-0.8028822	0.2292117
Plate_5	17	B10	Null	155	1.4908828	0.507187
Plate_3	9	D12	Null	623	-0.13773225	3.1688135
Plate_3	24	F12	Null	647	1.2730938	2.305621
Plate_5	14	E11	Null	185	-2.666834	1.3796633
Plate_3	8	D3	WT	305	0.88614005	2.4204338
Plate_3	2	F3	WT	185	-0.47724894	1.0315107
Plate_3_prime	17	F3	WT	174	1.8000534	3.617486
Plate_5	9	D10	Null	157	-0.7935706	1.2791375
Plate_3	20	C10	Null	136	-0.35235932	3.2189147
Plate_3	13	C4	WT	666	1.7642493	1.6860526
Plate_3	25	D11	Null	216	1.0018787	-0.1745141
Plate_3_prime	23	E2	WT	59	0.9241267	2.8798583
Plate_5	13	D4	WT	102	-0.32610035	3.0397775
Plate_5	8	G9	Null	149	-2.3740835	-0.42889345
Plate_3	13	D12	Null	623	-1.5335479	0.9316376
Plate_3_prime	20	D3	WT	168	-0.27228752	-0.49009427
Plate_3_prime	14	G4	WT	388	-1.3777119	0.74049956
Plate_3	11	D11	Null	216	0.28848323	-0.5001105
Plate_3_prime	14	C12	Null	321	-1.4292997	1.7208202
Plate_3	25	F11	Null	329	2.0135288	0.980962
Plate_3	22	G2	WT	47	-3.2897656	1.6253734
Plate_3	16	G11	Null	250	-0.43176672	1.9574147
Plate_3_prime	14	G4	WT	388	0.68871903	2.141242
Plate_3_prime	12	C12	Null	321	1.724793	3.1351473
Plate_3	17	D3	WT	305	-0.77595335	1.4957365
Plate_3_prime	25	G1	WT	20	-1.4875582	2.930094
Plate_3	7	C4	WT	666	0.4345609	2.5769145
Plate_5	3	G11	Null	127	0.71805966	-0.08423083
Plate_3	22	B4	WT	559	-1.5556178	2.9670422
Plate_3	17	B12	Null	531	0.97060883	3.3043294
Plate_3_prime	22	E2	WT	59	-0.63842416	-1.0680325
Plate_3	20	G4	WT	386	1.3334979	-0.605054
Plate_5	17	G9	Null	149	-0.40105823	0.13505395
Plate_3	17	G4	WT	386	0.9370363	0.34573427
Plate_5	5	G1	WT	71	0.9827574	1.3659327
Plate_3	22	B12	Null	531	-1.6812432	0.5209247
Plate_3	15	D10	Null	134	-2.2985318	-0.46495822
Plate_3	4	D10	Null	134	-2.7705903	0.9033433
Plate_3	22	F12	Null	647	1.7482353	2.8617632
Plate_3_prime	19	G4	WT	388	-1.2210544	1.1133313
Plate_3	3	F11	Null	329	0.76221234	3.8228118
Plate_3_prime	8	B4	WT	219	-1.287541	1.377821
Plate_3	15	E1	WT	51	0.531341	4.1152234
Plate_3	22	G4	WT	386	0.8765101	2.9455757
Plate_5	1	B9	Null	173	-2.8158524	1.8242874
Plate_3_prime	18	C3	WT	137	-1.6512568	1.6579624
Plate_3	22	G12	Null	481	-2.188195	-0.6481731
Plate_5	15	G11	Null	127	-0.6051299	3.8171246
Plate_3_prime	9	B12	Null	200	-1.826787	0.8737386
Plate_3_prime	15	D11	Null	100	-1.9493643	-0.38308725
Plate_3	17	E12	Null	607	1.5424117	1.9856335
Plate_3	20	E3	WT	168	-3.0608566	0.027456447
Plate_3_prime	20	E12	Null	328	1.495135	0.9709617
Plate_3_prime	9	C12	Null	321	2.248521	2.9795058
Plate_5	12	F10	Null	152	1.1343017	3.0876036
Plate_5	18	G3	WT	121	0.38307208	4.279768
Plate_3_prime	9	G11	Null	142	-0.044773143	-1.9454697
Plate_5	4	G11	Null	127	-0.90215534	0.60802996
Plate_5	16	D3	WT	128	-2.4895751	1.8126576
Plate_5	13	B11	Null	148	0.3313173	0.51602304
Plate_3_prime	4	C12	Null	321	0.24038486	0.85757023
Plate_3	23	B4	WT	559	-0.11850337	2.2438467
Plate_5	1	B9	Null	173	-2.5941558	-0.15305434
Plate_3	14	D12	Null	623	0.4122644	2.2583504
Plate_3_prime	19	D4	WT	358	-2.0136893	1.6742128
Plate_3	25	G12	Null	481	0.5014382	1.3959802
Plate_5	14	F10	Null	152	-0.45505765	3.3820999
Plate_3	23	C11	Null	280	-1.6197023	0.6206929
Plate_3	2	B4	WT	559	-1.486666	1.600161
Plate_5	11	G3	WT	121	1.3318928	3.7813632
Plate_5	5	F2	WT	111	2.170597	6.076181
Plate_3_prime	18	E10	Null	72	1.3887641	1.4531399
Plate_3	18	F12	Null	647	0.8170562	-1.3985991
Plate_3_prime	25	D2	WT	42	0.045341797	0.4043834
Plate_5	10	F10	Null	152	-0.2405413	-0.7471086
Plate_3	20	D12	Null	623	0.7695478	0.66628474
Plate_3	25	C12	Null	570	-1.029107	4.2971773
Plate_3	1	F11	Null	329	-3.296549	1.5454203
Plate_3	20	G11	Null	250	-2.4680603	-0.09542135
Plate_5	6	D4	WT	102	1.6782206	1.9899423
Plate_3	21	F1	WT	39	-3.259918	1.4137135
Plate_3_prime	5	D4	WT	358	0.56841904	3.8906822
Plate_3	5	B10	Null	84	0.12097299	-0.7765816
Plate_5	15	G3	WT	121	0.6210706	-3.4762259
Plate_3_prime	25	G2	WT	94	-1.629737	0.42232826
Plate_3	19	D11	Null	216	0.6976741	3.2958338
Plate_5	8	C4	WT	103	3.0918083	1.2097929
Plate_3	17	G9	Null	56	-3.1654263	2.8589964
Plate_3	18	D12	Null	623	0.908775	0.6467482
Plate_3	21	B4	WT	559	0.15587296	-0.8292616
Plate_3	15	F10	Null	149	-1.7589343	0.8587572
Plate_3	14	C9	Null	59	-1.1217359	3.392028
Plate_3_prime	19	G3	WT	248	-0.7568962	-0.6363926
Plate_3	11	F10	Null	149	0.15162557	0.30201814
Plate_3	18	D10	Null	134	1.4770464	3.352053
Plate_3	4	C2	WT	175	-2.1363142	2.2077432
Plate_5	12	B9	Null	173	5.7317114	0.08412708
Plate_3	3	G3	WT	187	-0.242485	4.32413
Plate_5	5	E1	WT	100	-2.9785357	1.3966464
Plate_3	22	F10	Null	149	-2.3797364	-0.64619946
Plate_3	23	E12	Null	607	0.5621545	2.3378065
Plate_3	23	G12	Null	481	1.6689093	2.8050454
Plate_3	10	F12	Null	647	2.06206	-0.13391761
Plate_5	4	C4	WT	103	-0.5644063	3.4104896
Plate_3_prime	7	D10	Null	50	-0.64541376	2.3514798
Plate_3	12	F4	WT	438	0.4453058	3.9100523
Plate_3	22	B12	Null	531	-2.2076275	0.97739995
Plate_3_prime	19	D4	WT	358	-1.5261081	2.4905128
Plate_3	25	B4	WT	559	-1.0832932	0.6394904
Plate_3_prime	22	F12	Null	125	-3.267278	0.060995918
Plate_3	6	F4	WT	438	0.0070888037	-2.132385
Plate_5	20	D3	WT	128	-1.3667359	3.667561
Plate_3	8	C12	Null	570	0.014889776	3.986669
Plate_3	8	B11	Null	279	1.3101293	2.3566883
Plate_5	10	F9	Null	149	-0.123243354	-0.7419787
Plate_5	2	B10	Null	155	-2.903377	1.2771543
Plate_3_prime	25	E4	WT	246	4.0718026	0.64804846
Plate_3_prime	15	B3	WT	76	-0.69112235	1.674212
Plate_3_prime	15	F3	WT	174	-1.0396417	3.4037278
Plate_3	3	D2	WT	151	-0.048577353	3.0283542
Plate_3	8	G12	Null	481	-1.5091646	-0.81363493
Plate_3_prime	21	E2	WT	59	0.50517046	0.027902922
Plate_3	15	D12	Null	623	0.5737718	0.04008548
Plate_5	20	F12	Null	124	0.13611566	-1.2767208
Plate_3_prime	23	C4	WT	127	-0.06408357	1.7623214
Plate_3	2	B4	WT	559	-0.87861025	0.5203733
Plate_3	14	G12	Null	481	1.6866503	1.3610537
Plate_5	19	D4	WT	102	-0.5648589	2.1785355
Plate_3	11	E12	Null	607	-1.1140074	-0.08325172
Plate_3_prime	8	F2	WT	91	0.3211119	-1.6606911
Plate_5	13	G11	Null	127	-3.2227871	2.9413445
Plate_3	2	F3	WT	185	-0.15218556	1.7556964
Plate_3	23	E12	Null	607	0.8544388	1.0100116
Plate_3	10	F11	Null	329	0.32354656	0.3389372
Plate_5	13	B9	Null	173	0.4648091	2.9042914
Plate_3_prime	12	G1	WT	20	-3.0301788	1.4928259
Plate_3	11	F11	Null	329	0.94509095	1.8559684
Plate_5	7	C10	Null	125	-0.29840598	4.3664484
Plate_3_prime	9	C3	WT	137	1.8319889	3.2704563
Plate_3	14	D12	Null	623	0.6439608	-0.23854525
Plate_3_prime	3	C12	Null	321	2.390682	1.4437028
Plate_3	22	C12	Null	570	1.8361603	0.72176594
Plate_3	20	E3	WT	168	-0.8715267	2.7845602
Plate_5	16	G11	Null	127	-1.571424	0.7974028
Plate_3	9	C12	Null	570	-0.23252733	-0.4593217
Plate_5	14	B3	WT	77	0.6980094	0.089057095
Plate_5	20	C3	WT	117	-0.21114936	-1.2024565
Plate_5	13	F9	Null	149	-3.3206215	3.1702373
Plate_5	21	B11	Null	148	-0.7151368	-0.5239329
Plate_3	19	G10	Null	117	0.5100827	-2.4198773
Plate_3	12	B12	Null	531	2.811507	0.9134945
Plate_5	14	B12	Null	148	-0.9580578	3.9350183
Plate_3	10	B4	WT	559	0.5901967	-3.5848026
Plate_3_prime	21	G2	WT	94	1.8303355	2.0757506
Plate_3	17	C9	Null	59	-1.1741763	-1.5173957
Plate_3	17	D2	WT	151	-1.0086696	3.2976143
Plate_3	20	E12	Null	607	4.454402	0.5116712
Plate_5	11	D9	Null	135	-1.6366768	1.6596568
Plate_3	13	B11	Null	279	-2.4708607	-0.09457548
Plate_3	14	D12	Null	623	-1.9780526	0.39682022
Plate_5	12	C11	Null	154	0.88032585	3.740164
Plate_3	15	B4	WT	559	-0.38967133	1.0811982
Plate_3	11	G11	Null	250	-0.805402	4.4424324
Plate_5	19	D10	Null	157	1.6914698	-0.84097123
Plate_3	10	B4	WT	559	-1.800162	1.248234
Plate_3	22	B9	Null	68	-2.2479618	0.89217407
Plate_3	5	G4	WT	386	-1.0470805	-1.3567067
Plate_3	17	B2	WT	139	-1.6004707	0.16544193
Plate_3	15	B12	Null	531	1.5917107	1.9447469
Plate_3	4	C12	Null	570	-1.5609784	-0.6862341
Plate_3	5	G12	Null	481	2.0618498	0.61408246
Plate_3	6	F12	Null	647	-2.169438	0.5286706
Plate_3	20	C12	Null	570	1.4927617	1.4261118
Plate_5	1	F2	WT	111	0.5679209	3.72209
Plate_5	13	G2	WT	123	1.0088586	2.596284
Plate_3_prime	25	G11	Null	142	1.2203871	3.5210106
Plate_3_prime	1	C10	Null	44	0.35015464	3.0547829
Plate_3	9	E12	Null	607	1.7247043	3.8784254
Plate_5	5	G3	WT	121	-2.265039	-0.44803867
Plate_3	23	G11	Null	250	-0.5065794	-0.09645683
Plate_3_prime	15	C3	WT	137	-2.3353784	2.051939
Plate_3	2	F11	Null	329	-1.5124459	2.651567
Plate_3	23	D2	WT	151	0.38408074	-3.2388716
Plate_3_prime	17	F10	Null	63	0.11003826	-1.5580044
Plate_3	17	D4	WT	636	3.3245947	0.43647608
Plate_5	9	D11	Null	178	0.38840938	-2.3833954
Plate_3_prime	25	E12	Null	328	1.5332431	1.5802029
Plate_3	24	D9	Null	48	-1.0035963	3.9937217
Plate_3	25	B11	Null	279	1.442564	1.3256055
Plate_3	11	G9	Null	56	-0.12351415	3.8538363
Plate_5	7	F10	Null	152	-1.1404421	3.064766
Plate_5	19	E11	Null	185	0.7101509	-0.654931
Plate_5	13	F9	Null	149	-0.504243	3.3085232
Plate_3	13	F12	Null	647	0.71030706	0.47318164
Plate_5	17	C11	Null	154	1.7088915	3.7336674
Plate_5	5	C9	Null	156	-0.4111669	2.6929665
Plate_3	5	G12	Null	481	1.1366755	3.098032
Plate_3_prime	13	B4	WT	219	-2.2169604	2.23725
Plate_5	14	G1	WT	71	0.9688729	3.017875
Plate_3	13	C3	WT	344	0.28316846	1.304962
Plate_3	12	D12	Null	623	0.3984452	-0.18635638
Plate_3	6	B12	Null	531	0.39200342	0.2771366
Plate_3	21	F11	Null	329	1.7978988	2.2618299
Plate_3_prime	10	D11	Null	100	-0.8907667	-1.7050596
Plate_5	12	C10	Null	125	1.534814	3.454336
Plate_3_prime	19	G12	Null	187	0.6382963	1.3762864
Plate_5	9	C4	WT	103	0.38044167	2.7806296
Plate_3	7	D11	Null	216	-1.1630514	2.573462
Plate_3_prime	4	F10	Null	63	0.037858617	2.8400412
Plate_3	21	B12	Null	531	1.60571	2.665136
Plate_5	15	D11	Null	178	-0.7206828	3.1318312
Plate_5	4	C4	WT	103	-0.54089046	0.42751864
Plate_3_prime	23	D3	WT	168	-2.173642	2.0027206
Plate_5	14	G12	Null	121	-2.264624	3.3317845
Plate_3_prime	3	G3	WT	248	1.1419679	-0.20208865
Plate_3	22	B11	Null	279	-1.7387475	0.9412843
Plate_3_prime	19	E4	WT	246	0.2926639	-3.2460804
Plate_3	6	C2	WT	175	-0.42598736	3.9038992
Plate_3	8	G3	WT	187	-0.31408757	4.1502013
Plate_5	16	B3	WT	77	-2.5265024	1.7605134
Plate_3	4	F4	WT	438	-0.8560737	1.2666591
Plate_5	2	E10	Null	132	-1.0051962	3.7603652
Plate_3_prime	25	G3	WT	248	1.2771333	3.7911682
Plate_3	7	B12	Null	531	1.6114172	-0.049844142
Plate_5	6	F12	Null	124	0.052015822	3.2754452
Plate_3	2	C4	WT	666	2.3753731	1.500275
Plate_3	8	D3	WT	305	1.3923408	4.0377927
Plate_3	4	B1	WT	43	0.35257307	4.255308
Plate_3	20	B12	Null	531	1.9804419	2.237708
Plate_3_prime	4	C3	WT	137	-1.0355794	3.551638
Plate_3_prime	9	D3	WT	168	-2.2001107	1.8132713
Plate_5	16	B4	WT	111	-2.0538247	1.1456705
Plate_3	18	D10	Null	134	0.35579914	1.9753131
Plate_5	2	F4	WT	94	0.16299982	2.560295
Plate_5	11	G9	Null	149	-1.8532892	0.39567834
Plate_3	6	B12	Null	531	-2.640086	0.26871148
Plate_3_prime	5	B4	WT	219	1.8068968	1.1589353
Plate_3	12	B4	WT	559	0.018032933	3.8730035
Plate_3	2	C3	WT	344	-1.5063748	0.6984304
Plate_3	19	F12	Null	647	1.0574846	1.0939969
Plate_3	16	G11	Null	250	-0.17163476	2.3615968
Plate_3	22	G4	WT	386	0.94373727	-0.33668223
Plate_3_prime	15	G12	Null	187	0.39604673	1.0546583
Plate_3	8	E1	WT	51	-2.4979033	0.43594325
Plate_3	22	D4	WT	636	1.2292916	-1.1368893
Plate_5	11	C2	WT	136	1.0326815	-0.6656909
Plate_3_prime	20	E4	WT	246	0.04627061	0.4367592
Plate_3	24	F11	Null	329	1.5233178	0.925774
Plate_3	21	G2	WT	47	-0.8465231	-1.6633356
Plate_3	25	B4	WT	559	1.1935043	3.31415
Plate_3	20	C9	Null	59	-0.95845604	-1.1428561
Plate_3	11	G12	Null	481	0.5317068	1.7962515
Plate_5	5	E1	WT	100	-2.6365876	0.46912056
Plate_3	19	C3	WT	344	0.041048564	0.3979301
Plate_3	14	C4	WT	666	-0.67985266	-0.4835018
Plate_3	11	C10	Null	136	-0.51080775	-1.0091456
Plate_3	11	F9	Null	66	-2.9425752	3.1848874
Plate_3	13	C11	Null	280	0.5588868	2.2885344
Plate_5	17	B2	WT	97	-2.739693	1.7220415
Plate_3_prime	1	B2	WT	55	-0.6302377	-0.41907075
Plate_5	4	G4	WT	99	-2.6943972	1.7917242
Plate_3	3	C12	Null	570	-2.4788787	1.3911766
Plate_3	10	C12	Null	570	0.37668696	1.1555287
Plate_5	5	D4	WT	102	-1.6742616	-0.60095114
Plate_3	9	E12	Null	607	0.83186996	-0.4790779
Plate_3	24	C12	Null	570	3.271409	1.0611777
Plate_3	2	E12	Null	607	1.128413	-1.2682943
Plate_3	4	D4	WT	636	0.85688263	0.8280064
Plate_3_prime	12	C12	Null	321	1.6336435	3.4923155
Plate_5	2	C2	WT	136	-1.9147406	1.6482025
Plate_3_prime	18	G4	WT	388	-1.0788271	-0.82410085
Plate_3_prime	19	E12	Null	328	2.0324864	2.4883358
Plate_3	2	G11	Null	250	0.7107263	1.6974535
Plate_5	20	C12	Null	119	-0.15676732	-0.4406916
Plate_3_prime	4	D3	WT	168	0.594646	3.9820278
Plate_3	14	D12	Null	623	1.245054	-0.36580208
Plate_3	23	E11	Null	331	1.5226346	2.456256
Plate_3	17	E11	Null	331	1.1817397	-1.6187991
Plate_3	7	F11	Null	329	-0.8360633	0.2791464
Plate_5	14	D2	WT	98	-1.5493658	-1.3154999
Plate_5	14	D4	WT	102	1.5249557	2.993895
Plate_3	20	C3	WT	344	-0.036104925	2.7433274
Plate_3_prime	23	G12	Null	187	1.1557066	-0.62748826
Plate_5	10	B9	Null	173	1.836978	1.1522113
Plate_3	18	B3	WT	297	-1.6773176	1.2201428
Plate_3	2	D12	Null	623	-0.0011596017	2.8791802
Plate_3	19	G4	WT	386	0.75296205	3.7546594
Plate_5	5	F10	Null	152	0.9165624	0.48076448
Plate_3	5	B12	Null	531	0.01057251	2.7691185
Plate_5	4	D11	Null	178	-3.0373247	0.5485412
Plate_5	11	D2	WT	98	2.63256	1.7214491
Plate_3_prime	3	D4	WT	358	-1.1127809	-0.9007832
Plate_3	7	C12	Null	570	1.4058049	-0.15010732
Plate_3_prime	9	B12	Null	200	0.6307413	1.1705259
Plate_3	17	D12	Null	623	-0.69612724	-0.40396675
Plate_3	20	C4	WT	666	1.9296985	0.9658838
Plate_3	6	C10	Null	136	-2.7666953	0.49132258
Plate_3_prime	10	G4	WT	388	1.9352561	2.2541924
Plate_3	25	C4	WT	666	0.31600633	1.3679858
Plate_3	1	F4	WT	438	-1.9675653	0.7222752
Plate_3	3	C3	WT	344	-0.4501247	-0.008926406
Plate_5	18	G3	WT	121	-0.7158189	0.49223992
Plate_3	5	C12	Null	570	3.6669369	0.8785118
Plate_3	4	F11	Null	329	-3.0001812	0.32458577
Plate_3	9	C2	WT	175	1.0317233	1.3348159
Plate_5	16	B3	WT	77	-2.0240083	1.0820042
Plate_3	25	B12	Null	531	-0.086855486	0.41263908
Plate_3_prime	24	G3	WT	248	-2.0020623	2.5385368
Plate_3	16	B4	WT	559	0.8935963	-0.8880612
Plate_3	5	E1	WT	51	-0.15066564	-1.4216813
Plate_3	23	D10	Null	134	0.8880304	2.3164353
Plate_5	13	D12	Null	106	-3.395888	2.9607544
Plate_3_prime	5	G3	WT	248	0.050332963	0.35501283
Plate_5	14	C9	Null	156	1.592827	1.6609644
Plate_5	6	F12	Null	124	-0.56891763	-0.440884
