Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	18	D11	Null	216	0.43149218	-3.2754242
Plate_3	22	F12	Null	647	1.207864	0.2887776
Plate_3_prime	3	D3	WT	168	-3.084289	0.0015879944
Plate_3	18	B12	Null	531	0.8004791	1.4732443
Plate_3	17	B1	WT	43	-0.84935594	4.2088857
Plate_3	24	G10	Null	117	-0.6944279	0.20782213
Plate_3_prime	10	F12	Null	125	-0.046815902	2.5522273
Plate_3_prime	17	F4	WT	284	0.7725833	3.6829228
Plate_3	24	B11	Null	279	-1.3573264	-0.5658514
Plate_5	20	E4	WT	85	0.7912619	2.9057794
Plate_3	21	D4	WT	636	0.810884	-1.5021036
Plate_3	11	C4	WT	666	0.6204585	1.596649
Plate_3	12	C4	WT	666	3.8507178	0.64343405
Plate_5	19	F9	Null	149	-1.1424556	0.53439945
Plate_3	2	E12	Null	607	1.7760313	0.878386
Plate_5	14	B3	WT	77	-3.1436357	0.33603197
Plate_5	14	F10	Null	152	-0.29483002	3.2977755
Plate_3	5	B4	WT	559	0.27520248	1.3211349
Plate_5	5	D3	WT	128	0.73820215	-2.9786222
Plate_5	2	G12	Null	121	-0.4636359	-0.009116265
Plate_3	13	C12	Null	570	0.13503812	-1.0098164
Plate_3	23	C3	WT	344	2.0903645	0.7788252
Plate_3	13	D10	Null	134	-1.0250133	0.95843
Plate_3	9	G12	Null	481	0.9684811	3.2972438
Plate_5	6	E12	Null	115	-0.5417498	0.6701044
Plate_3_prime	9	D12	Null	193	1.7239915	2.3065264
Plate_5	9	D2	WT	98	1.4667861	2.1010098
Plate_3	13	G12	Null	481	0.5507538	1.1816388
Plate_3	18	E10	Null	117	-1.2722749	3.34347
Plate_3	20	G11	Null	250	-2.8170948	1.0097188
Plate_3	1	F12	Null	647	2.5516684	1.8921669
Plate_3	23	D11	Null	216	0.43174428	-3.3465376
Plate_3_prime	25	E3	WT	155	1.5327146	1.278095
Plate_3	17	G4	WT	386	0.43466932	0.04765852
Plate_3_prime	24	G4	WT	388	-1.696801	1.4499625
Plate_5	2	F11	Null	135	0.026913574	3.0357938
Plate_5	20	F10	Null	152	1.1026307	2.6013694
Plate_3	18	B3	WT	297	-1.3988588	1.8176078
Plate_3_prime	25	D4	WT	358	-0.89882994	0.36921963
Plate_3	14	C4	WT	666	1.2905647	3.083169
Plate_5	13	E1	WT	100	0.5132674	-3.1957562
Plate_3	18	F12	Null	647	1.0105522	-1.2127663
Plate_3_prime	20	D4	WT	358	2.5354238	1.63201
Plate_3_prime	25	E4	WT	246	-0.2723243	-0.12768921
Plate_5	13	F9	Null	149	-2.277417	-0.68560976
Plate_5	16	B2	WT	97	1.1059066	-0.77689385
Plate_3	25	C3	WT	344	1.0242813	1.6392155
Plate_3_prime	5	C12	Null	321	-0.22087638	0.24721816
Plate_3	4	D4	WT	636	-0.2962751	-0.2142574
Plate_3	3	C3	WT	344	-0.9965288	0.61920625
Plate_3	10	F12	Null	647	2.546651	-0.51318675
Plate_3	11	D10	Null	134	-0.97698915	-1.6242048
Plate_3_prime	8	G12	Null	187	2.4293673	0.9063598
Plate_5	9	D4	WT	102	1.2705511	0.9974397
Plate_5	6	E9	Null	119	-2.9657977	0.028298838
Plate_3	7	F10	Null	149	0.28363863	-0.88391984
Plate_3_prime	22	E4	WT	246	1.3167222	1.0690043
Plate_3_prime	15	D3	WT	168	0.3375456	2.66846
Plate_3_prime	20	G11	Null	142	-2.2402747	0.5334943
Plate_3_prime	22	G4	WT	388	0.085299894	-0.95945394
Plate_3	3	D9	Null	48	-3.2459955	2.6015472
Plate_3	4	C12	Null	570	-0.9853683	0.66170955
Plate_5	4	C12	Null	119	1.3230927	2.2886624
Plate_3	24	B12	Null	531	1.4147289	2.7210357
Plate_3_prime	19	C12	Null	321	1.5901552	0.511281
Plate_5	2	G9	Null	149	0.51699376	2.6504068
Plate_3	6	G11	Null	250	-0.870338	-0.7910119
Plate_3	20	D3	WT	305	0.3352783	-3.0353093
Plate_3_prime	10	G12	Null	187	-1.3173445	-0.44069508
Plate_3	3	D3	WT	305	0.9918528	2.6151366
Plate_3	23	G10	Null	117	-2.9847267	0.18885486
Plate_3	17	E12	Null	607	0.22757405	-1.9889821
Plate_3	23	D12	Null	623	1.8597211	0.52687687
Plate_3_prime	22	E4	WT	246	2.030301	3.427555
Plate_5	2	E9	Null	119	-0.49217921	0.9995641
Plate_5	19	C2	WT	136	-0.36627197	3.692952
Plate_3	3	B4	WT	559	1.8235818	1.1262083
Plate_3_prime	23	C12	Null	321	1.3415554	3.227305
Plate_5	17	G2	WT	123	-0.45021346	1.025832
Plate_3	9	E12	Null	607	-1.5471559	2.3610578
Plate_5	14	F9	Null	149	-0.4424896	3.2844646
Plate_5	10	G4	WT	99	-1.310196	4.2162066
Plate_3	24	B4	WT	559	0.3204771	0.33131385
Plate_3	20	C4	WT	666	1.3263153	-0.47216505
Plate_5	19	C10	Null	125	1.2654867	0.40884015
Plate_3	7	D11	Null	216	-1.5011595	0.4449677
Plate_3	4	F4	WT	438	2.2426565	2.144188
Plate_3	6	B12	Null	531	-1.5080166	0.023781938
Plate_3	16	F12	Null	647	1.3123652	3.5712736
Plate_3_prime	24	G2	WT	94	0.6681578	-1.7448932
Plate_3_prime	12	F2	WT	91	-0.2604471	3.131927
Plate_5	2	G11	Null	127	-2.8234544	1.782838
Plate_3_prime	18	D4	WT	358	4.414075	0.4929093
Plate_3	24	F3	WT	185	0.386493	3.542377
Plate_3_prime	18	G12	Null	187	-2.9789107	2.1866353
Plate_5	17	D1	WT	91	-0.3595857	2.429409
Plate_3_prime	10	B10	Null	49	-3.0436594	1.3443379
Plate_5	5	B4	WT	111	0.90230006	2.2589912
Plate_3	18	F4	WT	438	2.3251321	6.486661
Plate_5	10	E3	WT	120	-0.21046206	3.2271693
Plate_3_prime	7	D4	WT	358	-0.014014389	-1.9595468
Plate_3	10	B12	Null	531	1.4963529	3.045796
Plate_3	22	C12	Null	570	-1.6077869	0.7813522
Plate_3	1	C4	WT	666	-1.6692235	1.7376741
Plate_5	17	F11	Null	135	-3.0795612	1.2949191
Plate_3	1	C4	WT	666	0.38093343	-0.2718524
Plate_3	25	E11	Null	331	1.6980904	0.91519916
Plate_3_prime	22	E3	WT	155	-2.2099323	3.1216576
Plate_3_prime	14	C12	Null	321	1.932621	1.5357457
Plate_3	2	E12	Null	607	-2.3753183	1.4021707
Plate_3	18	B11	Null	279	-0.32048386	1.1271421
Plate_3_prime	18	B11	Null	53	-1.4295806	0.95999193
Plate_3	23	B12	Null	531	-0.52165353	-0.5131533
Plate_5	13	C2	WT	136	0.1897085	1.3835489
Plate_3	7	D12	Null	623	0.9904795	-1.9513987
Plate_3_prime	13	E3	WT	155	-0.59179264	1.9065331
Plate_3	11	F10	Null	149	1.4059528	4.257687
Plate_3	14	C4	WT	666	2.1512377	6.0171123
Plate_3	10	C12	Null	570	0.59257406	0.3129108
Plate_3_prime	19	D12	Null	193	0.48922527	1.3354579
Plate_5	8	C4	WT	103	1.8047802	3.0527322
Plate_3	24	G11	Null	250	2.2895398	0.83362156
Plate_5	19	B11	Null	148	-1.1841638	3.655848
Plate_3	13	C3	WT	344	0.5197502	-3.2432828
Plate_3	11	B12	Null	531	2.6062903	0.44144973
Plate_3	25	D11	Null	216	1.6182493	1.7732966
Plate_3_prime	12	G4	WT	388	2.4137673	1.2398045
Plate_3_prime	20	C12	Null	321	1.8754466	2.3881989
Plate_3	14	G11	Null	250	-1.5072942	1.5242175
Plate_3	24	E3	WT	168	-1.2633895	1.9753004
Plate_3	19	G11	Null	250	1.0720375	2.5860462
Plate_3_prime	15	B12	Null	200	0.96988285	2.3958592
Plate_5	4	C10	Null	125	-2.1604877	0.058492735
Plate_3	24	E3	WT	168	-2.0317419	1.4306173
Plate_3	24	F4	WT	438	0.48988977	3.8076086
Plate_3	4	C4	WT	666	-1.0199418	1.7492832
Plate_5	19	G11	Null	127	-1.0328302	-1.7153754
Plate_3_prime	19	D4	WT	358	-1.7351633	0.7799794
Plate_3	9	G3	WT	187	-0.22480781	1.350997
Plate_3	19	C10	Null	136	1.7770766	1.6635531
Plate_3	13	C12	Null	570	1.8262864	0.9756546
Plate_3_prime	19	E12	Null	328	1.3631932	1.8790709
Plate_5	3	D12	Null	106	0.725477	-1.875489
Plate_3_prime	24	E4	WT	246	0.5881249	3.6335483
Plate_3	24	F2	WT	70	-0.4144738	-1.9445305
Plate_3	8	E12	Null	607	2.3773863	1.9178227
Plate_3_prime	1	E10	Null	72	2.0759215	1.8819674
Plate_3_prime	8	E12	Null	328	-0.13802499	-2.6663103
Plate_3	11	G12	Null	481	-0.040012386	0.8461234
Plate_3_prime	1	F10	Null	63	-3.13466	2.482643
Plate_3	5	G4	WT	386	0.9346852	2.8032029
Plate_3_prime	22	F10	Null	63	-1.4965566	2.9802985
Plate_3	1	F12	Null	647	-1.6986101	0.061000627
Plate_3	18	D4	WT	636	1.1983032	3.5072608
Plate_5	4	F9	Null	149	0.72186637	0.6049967
Plate_3	24	C4	WT	666	2.7074552	0.7229944
Plate_3	3	C4	WT	666	-1.8050237	0.8576427
Plate_3	7	B11	Null	279	-3.3134048	1.8061519
Plate_3_prime	6	B2	WT	55	1.0121883	2.052976
Plate_5	10	D9	Null	135	-0.33764377	4.169272
Plate_5	20	G12	Null	121	1.2799965	2.457786
Plate_3_prime	7	G4	WT	388	2.1491346	1.5299666
Plate_3	2	B12	Null	531	2.6847289	1.1357546
Plate_3_prime	12	D3	WT	168	0.53166854	4.1429195
Plate_3	15	G2	WT	47	-3.2057507	-0.047990896
Plate_3	21	D12	Null	623	1.1111972	1.9676925
Plate_3	7	C12	Null	570	2.1696813	2.7568228
Plate_5	16	C3	WT	117	-1.1937057	0.7089208
Plate_3	23	D12	Null	623	-2.285024	0.37736794
Plate_5	2	B11	Null	148	-0.6072896	1.0656755
Plate_5	19	F9	Null	149	-3.263421	2.7791224
Plate_5	6	B3	WT	77	5.7771406	0.07060798
Plate_3	25	C10	Null	136	1.11274	1.2994056
Plate_3_prime	23	G4	WT	388	-2.6165721	0.31069547
Plate_3	1	D4	WT	636	0.010452418	1.9172846
Plate_3_prime	15	D3	WT	168	-3.372034	0.5100622
Plate_3	21	E12	Null	607	1.3525256	3.2481174
Plate_3_prime	16	E3	WT	155	0.5892928	3.9255834
Plate_5	19	C9	Null	156	-3.270831	2.7270386
Plate_3_prime	10	F4	WT	284	0.5361274	-1.4818528
Plate_5	6	D1	WT	91	-2.272256	1.3046974
Plate_3	17	C10	Null	136	-1.2237366	-0.1609382
Plate_3	22	G10	Null	117	-1.342683	-1.082426
Plate_5	14	G3	WT	121	-2.1798813	1.4650627
Plate_3	8	F11	Null	329	-0.44102263	3.255935
Plate_3	16	F12	Null	647	4.49599	0.47479248
Plate_3	20	E9	Null	42	-0.005288906	4.2466855
Plate_3	22	C10	Null	136	-2.418562	2.8811343
Plate_5	16	C12	Null	119	-2.660137	1.4618692
Plate_3	1	E12	Null	607	0.059312843	-0.68889827
Plate_3_prime	24	C12	Null	321	0.12557624	0.3660877
Plate_3	4	D12	Null	623	1.4144952	2.8645818
Plate_3_prime	3	E3	WT	155	-2.974907	1.6938916
Plate_5	6	C4	WT	103	0.8348866	1.4123628
Plate_3	5	G4	WT	386	0.2970755	2.1293583
Plate_3_prime	4	F3	WT	174	-0.41015798	2.7466385
Plate_3_prime	24	G4	WT	388	0.8172794	3.70498
Plate_3	21	G10	Null	117	-1.696677	1.4434314
Plate_3_prime	17	G3	WT	248	-1.5915966	-0.5374315
Plate_3_prime	5	G10	Null	72	-1.373974	0.13701105
Plate_3	10	D3	WT	305	0.050826117	3.5402815
Plate_3	19	D4	WT	636	3.7147462	1.0120466
Plate_3	3	C12	Null	570	2.4689438	1.6129603
Plate_3	15	C2	WT	175	-2.5617416	1.5438422
Plate_5	12	F9	Null	149	-2.1329389	-0.8514172
Plate_3	19	C12	Null	570	-2.3184912	0.19827312
Plate_3	19	E3	WT	168	-1.0703284	2.7183387
Plate_3	24	G9	Null	56	-0.6638175	-1.1304559
Plate_3_prime	20	G2	WT	94	-0.11723865	3.3277342
Plate_5	7	F3	WT	91	-0.945022	0.78472185
Plate_3	14	G12	Null	481	1.5300223	-0.05997575
Plate_3_prime	9	D11	Null	100	-0.23886612	4.467552
