Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E10	4	224	WT	Plate_6	4.6005015	0.73289514
G9	33	87	Null	Plate_6	5.171889	-0.83323264
G10	8	88	Null	Plate_6	3.6677475	0.64642274
E11	25	232	WT	Plate_6	2.1016312	2.2888408
G2	22	114	Null	Plate_6	3.8827798	1.186744
G8	21	132	Null	Plate_6	2.699027	-1.3432359
E4	6	131	WT	Plate_6	5.749625	0.5925395
G5	27	131	Null	Plate_6	4.545422	-2.2543123
G11	7	114	Null	Plate_6	4.3152695	-2.0991669
G5	10	131	Null	Plate_6	2.1952121	-0.030416772
E4	17	131	WT	Plate_6	2.4387157	2.0466013
G3	8	123	Null	Plate_6	3.9083307	-0.6941639
E2	20	141	WT	Plate_6	5.52568	-0.20614406
E10	34	224	WT	Plate_6	3.8912191	1.4300923
G6	33	133	Null	Plate_6	4.1787033	1.7368649
B7	35	102	WT	Plate_6	8.581147	3.362264
E9	22	251	WT	Plate_6	3.0450783	-0.1500123
E9	9	251	WT	Plate_6	2.3488533	-0.4661672
E8	21	215	WT	Plate_6	5.0443845	2.245275
D10	31	59	Null	Plate_6	8.328224	1.7766235
E3	18	161	WT	Plate_6	4.764455	0.66199917
E4	16	131	WT	Plate_6	5.7619247	0.22604965
B7	21	102	WT	Plate_6	10.235325	1.6709391
B5	34	91	WT	Plate_6	10.643805	2.7745593
B7	27	102	WT	Plate_6	10.596032	1.8480345
E10	9	224	WT	Plate_6	4.8345466	1.9902005
G11	4	114	Null	Plate_6	5.1553326	-1.6953552
G3	34	123	Null	Plate_6	1.1890266	0.556132
E10	26	224	WT	Plate_6	3.9154978	1.5649394
B2	14	129	WT	Plate_6	10.432113	1.88908
E9	28	251	WT	Plate_6	3.4396338	-0.60043734
E3	17	161	WT	Plate_6	1.8098556	2.9884603
G10	10	88	Null	Plate_6	3.248435	-1.7880994
G8	20	132	Null	Plate_6	3.215604	0.41691807
B5	23	91	WT	Plate_6	10.59576	2.4483564
E10	15	224	WT	Plate_6	4.543139	0.054938983
E5	23	172	WT	Plate_6	2.8481581	-0.015978774
E8	3	215	WT	Plate_6	3.062792	-0.12889722
E11	16	232	WT	Plate_6	4.307964	-1.4585328
E9	10	251	WT	Plate_6	3.1486826	0.23724394
G2	22	114	Null	Plate_6	2.6323922	-0.4972475
B7	23	102	WT	Plate_6	10.699995	3.0338135
E10	1	224	WT	Plate_6	4.0640326	0.8995551
B9	35	135	WT	Plate_6	10.527123	1.9406395
G4	21	109	Null	Plate_6	5.778151	0.357671
E9	33	251	WT	Plate_6	4.4900947	1.7772216
B8	28	92	WT	Plate_6	10.488166	2.6671748
G7	3	128	Null	Plate_6	4.596123	1.9408145
G9	27	87	Null	Plate_6	3.789008	-0.122987844
B6	21	93	WT	Plate_6	9.285493	1.9331238
E8	22	215	WT	Plate_6	4.872089	-0.19649906
G7	30	128	Null	Plate_6	2.534501	2.0944426
G8	15	132	Null	Plate_6	4.556981	-2.2230985
D6	32	54	Null	Plate_6	8.772942	2.1228569
D3	28	55	Null	Plate_6	8.616154	1.6052178
E9	27	251	WT	Plate_6	4.132704	-0.5938452
E9	21	251	WT	Plate_6	2.806267	-0.45815885
E9	28	251	WT	Plate_6	4.081862	-0.8046451
G3	8	123	Null	Plate_6	3.9450288	-1.6911948
G5	1	131	Null	Plate_6	4.8801312	-0.11330248
E7	29	194	WT	Plate_6	2.5192294	-0.91761154
B11	29	122	WT	Plate_6	10.674455	3.1245623
D5	26	50	Null	Plate_6	9.468739	1.4894217
B5	10	91	WT	Plate_6	9.598348	1.2762305
D8	22	62	Null	Plate_6	10.456167	1.269643
G3	33	123	Null	Plate_6	1.3153248	0.28664902
G2	5	114	Null	Plate_6	2.983131	0.62086993
E2	24	141	WT	Plate_6	2.4237359	2.2509217
D11	10	67	Null	Plate_6	9.182382	1.1692842
E8	17	215	WT	Plate_6	8.173819	3.069885
G9	18	87	Null	Plate_6	4.0299807	0.09545563
E4	4	131	WT	Plate_6	4.7987943	0.9570851
B4	35	88	WT	Plate_6	9.869065	3.5081391
B9	16	135	WT	Plate_6	10.618676	1.7093034
E5	16	172	WT	Plate_6	4.4679337	1.7486484
G3	2	123	Null	Plate_6	4.091715	-1.8388045
E5	29	172	WT	Plate_6	5.5950556	-1.4028717
G7	32	128	Null	Plate_6	0.69147223	0.26973268
B3	20	116	WT	Plate_6	9.216023	2.1402192
E3	32	161	WT	Plate_6	2.3692667	0.51328933
E2	11	141	WT	Plate_6	4.4331136	-0.4765762
B11	3	122	WT	Plate_6	9.19775	2.6624
E10	5	224	WT	Plate_6	3.563143	1.5967917
E7	35	194	WT	Plate_6	5.658	-0.5148592
G4	24	109	Null	Plate_6	3.536649	-1.303221
B9	1	135	WT	Plate_6	10.00116	1.8535781
E7	9	194	WT	Plate_6	4.3910627	-1.742056
B2	11	129	WT	Plate_6	8.721414	2.050096
D10	8	59	Null	Plate_6	8.7862015	2.304512
B6	28	93	WT	Plate_6	10.102395	2.7801964
D2	19	53	Null	Plate_6	8.07197	2.7612348
E11	24	232	WT	Plate_6	3.2307334	0.5447422
B3	23	116	WT	Plate_6	10.774825	2.431652
G3	17	123	Null	Plate_6	4.9062757	-1.696119
E9	23	251	WT	Plate_6	4.952599	-0.90217835
D2	12	53	Null	Plate_6	8.803963	1.748569
B2	2	129	WT	Plate_6	8.472591	3.3732924
E5	23	172	WT	Plate_6	5.7759204	-0.9246078
B10	9	124	WT	Plate_6	10.515526	1.8532187
B2	20	129	WT	Plate_6	9.423532	2.7705204
B6	23	93	WT	Plate_6	10.646156	2.9529238
E2	26	141	WT	Plate_6	1.9441385	1.3599244
D2	6	53	Null	Plate_6	9.774915	2.8311856
B5	15	91	WT	Plate_6	10.144282	1.874963
D4	4	40	Null	Plate_6	8.2261715	2.135033
G11	11	114	Null	Plate_6	4.486352	-0.98771244
G8	20	132	Null	Plate_6	3.0448732	-0.13110383
B7	16	102	WT	Plate_6	10.78204	2.186363
D6	19	54	Null	Plate_6	8.110239	2.3380594
E9	14	251	WT	Plate_6	3.0559158	0.7166245
G8	35	132	Null	Plate_6	5.8230896	-0.51357377
B4	30	88	WT	Plate_6	7.976488	3.0661817
E2	31	141	WT	Plate_6	5.982045	-1.1215003
E2	20	141	WT	Plate_6	4.447643	1.5819513
E5	29	172	WT	Plate_6	1.3640718	1.6712159
D11	25	67	Null	Plate_6	8.141376	1.9290707
G5	36	131	Null	Plate_6	3.9902408	-1.2679936
G6	15	133	Null	Plate_6	2.6045587	0.8774861
G5	6	131	Null	Plate_6	1.5373048	0.23226383
E8	21	215	WT	Plate_6	4.3002973	0.1634126
B5	24	91	WT	Plate_6	9.378818	1.6812745
E8	23	215	WT	Plate_6	1.808888	2.3165047
G8	13	132	Null	Plate_6	3.353836	-0.08854903
D5	33	50	Null	Plate_6	7.89435	2.5854967
B10	15	124	WT	Plate_6	9.543634	1.7406961
E10	15	224	WT	Plate_6	3.9662044	-0.7167646
B7	6	102	WT	Plate_6	9.710625	3.6521418
B8	33	92	WT	Plate_6	9.5257225	1.9328154
E5	30	172	WT	Plate_6	1.375201	0.5381372
G3	28	123	Null	Plate_6	5.1025205	-1.5469357
G5	25	131	Null	Plate_6	5.294691	-1.4949489
E8	36	215	WT	Plate_6	5.20967	0.42825836
D6	18	54	Null	Plate_6	8.363926	2.0598855
E9	30	251	WT	Plate_6	5.020442	1.6859438
G7	26	128	Null	Plate_6	4.882435	-1.6953633
B4	12	88	WT	Plate_6	9.6443405	3.7927315
G9	19	87	Null	Plate_6	5.073609	-0.854701
D3	25	55	Null	Plate_6	8.388434	2.9184258
B2	4	129	WT	Plate_6	10.516834	2.291547
G6	32	133	Null	Plate_6	1.858039	-0.17413436
D8	25	62	Null	Plate_6	8.319467	1.6493967
G8	10	132	Null	Plate_6	1.4171983	-0.34824204
D2	23	53	Null	Plate_6	8.634183	2.9423716
B11	16	122	WT	Plate_6	10.469455	2.6099455
B4	34	88	WT	Plate_6	9.252952	3.4104886
E2	19	141	WT	Plate_6	3.5005167	-0.06586556
E6	30	144	WT	Plate_6	5.2690144	0.48608884
D11	36	67	Null	Plate_6	9.718292	2.1274915
E4	19	131	WT	Plate_6	5.486943	-0.9698246
B3	18	116	WT	Plate_6	8.709687	1.7053639
G10	34	88	Null	Plate_6	2.8117917	-0.019466773
E5	1	172	WT	Plate_6	5.3797703	-0.6728899
E9	23	251	WT	Plate_6	3.5620534	-1.1333337
E9	29	251	WT	Plate_6	2.759773	1.8963504
E5	23	172	WT	Plate_6	5.661219	-0.92262363
G2	2	114	Null	Plate_6	4.5611315	-0.4838791
E2	31	141	WT	Plate_6	5.1877823	2.6241024
G2	29	114	Null	Plate_6	4.7114115	-1.550947
D3	13	55	Null	Plate_6	8.688915	2.3273273
G2	35	114	Null	Plate_6	3.2698839	-1.1632279
G8	8	132	Null	Plate_6	0.8807789	0.082319096
G6	20	133	Null	Plate_6	4.167056	0.2946058
E3	13	161	WT	Plate_6	5.063627	-0.1417128
E7	19	194	WT	Plate_6	2.9450974	1.9505478
E2	26	141	WT	Plate_6	4.9340463	0.16648532
E11	35	232	WT	Plate_6	2.3452961	1.8011128
B2	11	129	WT	Plate_6	10.36007	2.3562346
E6	28	144	WT	Plate_6	4.5252724	1.6605111
D4	10	40	Null	Plate_6	8.541114	2.7036371
G3	21	123	Null	Plate_6	1.0053692	0.47890517
B6	8	93	WT	Plate_6	9.986461	3.425896
G8	2	132	Null	Plate_6	1.7076004	0.35596305
B6	16	93	WT	Plate_6	10.444252	2.3389664
E8	28	215	WT	Plate_6	5.069384	2.4764886
E11	30	232	WT	Plate_6	5.2801404	0.661246
G11	11	114	Null	Plate_6	4.921919	-1.3463213
E10	20	224	WT	Plate_6	3.9858193	0.9615273
E6	12	144	WT	Plate_6	2.0671048	1.4023205
E3	31	161	WT	Plate_6	5.139634	0.12699576
E7	11	194	WT	Plate_6	5.4940696	-0.39249656
E3	22	161	WT	Plate_6	1.7879646	2.9674113
E9	36	251	WT	Plate_6	5.739914	-1.5023705
E11	15	232	WT	Plate_6	2.5801241	-0.44163492
E4	25	131	WT	Plate_6	5.726584	2.411055
G8	33	132	Null	Plate_6	1.0537572	0.5319249
E8	28	215	WT	Plate_6	4.3380313	2.456274
B4	10	88	WT	Plate_6	7.8151636	2.8825412
E3	2	161	WT	Plate_6	2.4636884	1.4936272
B6	20	93	WT	Plate_6	8.979656	2.9767656
