Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
B12	18	200	Null	Plate_3_prime	-6.0391912	2.1237369
G10	11	72	Null	Plate_3_prime	-3.9604578	-2.4942625
G4	18	388	WT	Plate_3_prime	-3.366213	-0.2574932
D3	25	168	WT	Plate_3_prime	-4.289498	0.90662694
E3	17	155	WT	Plate_3_prime	-7.5705066	0.25807577
B2	23	55	WT	Plate_3_prime	-5.010327	-2.8696847
G3	8	248	WT	Plate_3_prime	-6.405982	1.3347155
D12	13	193	Null	Plate_3_prime	-5.0272217	2.8002212
E12	4	328	Null	Plate_3_prime	-4.8630977	3.1775253
C11	23	54	Null	Plate_3_prime	-3.039858	1.3527892
B2	15	55	WT	Plate_3_prime	-5.2852793	-2.615705
C12	23	321	Null	Plate_3_prime	-5.5912414	2.2392418
C3	5	137	WT	Plate_3_prime	-4.980606	-0.29302812
D11	23	100	Null	Plate_3_prime	-7.17981	0.045481406
E12	9	328	Null	Plate_3_prime	-4.749212	2.5600731
E2	22	59	WT	Plate_3_prime	-5.4225864	-3.0653784
G11	25	142	Null	Plate_3_prime	-3.092181	0.18156365
D3	12	168	WT	Plate_3_prime	-5.0397315	-0.05883998
G12	20	187	Null	Plate_3_prime	-4.145639	2.9020355
D4	20	358	WT	Plate_3_prime	-7.6185427	0.7342595
G4	20	388	WT	Plate_3_prime	-5.135339	2.2503655
E3	16	155	WT	Plate_3_prime	-5.1186786	-0.28365245
G12	25	187	Null	Plate_3_prime	-2.96192	2.314945
E4	5	246	WT	Plate_3_prime	-5.893841	2.4589145
C4	9	127	WT	Plate_3_prime	-3.150683	0.32496083
G4	23	388	WT	Plate_3_prime	-5.996952	2.2607906
E3	24	155	WT	Plate_3_prime	-4.5810533	1.4799095
B4	19	219	WT	Plate_3_prime	-7.523804	0.9071143
F4	4	284	WT	Plate_3_prime	-3.0752897	1.172907
G10	3	72	Null	Plate_3_prime	-6.550183	-2.083906
D4	18	358	WT	Plate_3_prime	-6.585554	3.8130927
G2	25	94	WT	Plate_3_prime	-5.7777357	-2.9374008
E12	10	328	Null	Plate_3_prime	-6.8200607	2.1262734
C4	22	127	WT	Plate_3_prime	-7.216615	0.75222796
E12	8	328	Null	Plate_3_prime	-2.9787977	1.7110201
E12	8	328	Null	Plate_3_prime	-2.8921509	-0.5368356
D4	7	358	WT	Plate_3_prime	-6.023359	0.75681144
C4	22	127	WT	Plate_3_prime	-7.014097	2.1064732
G3	6	248	WT	Plate_3_prime	-2.3653762	-2.1244524
D3	19	168	WT	Plate_3_prime	-5.9388814	-0.2250367
F11	23	100	Null	Plate_3_prime	-4.109201	-1.0605086
C12	4	321	Null	Plate_3_prime	-4.7221775	2.688074
D4	3	358	WT	Plate_3_prime	-4.9183292	0.9387755
B4	13	219	WT	Plate_3_prime	-6.7763824	0.8469729
B4	10	219	WT	Plate_3_prime	-5.5857763	1.7755176
E12	10	328	Null	Plate_3_prime	-4.1852255	1.9890789
B2	22	55	WT	Plate_3_prime	-5.114325	-2.3696997
D4	24	358	WT	Plate_3_prime	-7.496699	1.6629645
F3	15	174	WT	Plate_3_prime	-3.4008808	-0.65567815
C12	2	321	Null	Plate_3_prime	-4.006112	2.3056107
C12	9	321	Null	Plate_3_prime	-3.2847662	2.5148726
D4	10	358	WT	Plate_3_prime	-5.34246	2.7199593
D4	9	358	WT	Plate_3_prime	-7.1129303	1.251573
B1	23	25	WT	Plate_3_prime	-5.500778	-2.2082024
G4	21	388	WT	Plate_3_prime	-5.7950435	0.57140577
E4	19	246	WT	Plate_3_prime	-3.9218924	2.0465558
C12	12	321	Null	Plate_3_prime	-2.336905	-2.1446424
C12	17	321	Null	Plate_3_prime	-2.8733792	1.2419598
D12	15	193	Null	Plate_3_prime	-3.452875	0.5238601
B12	4	200	Null	Plate_3_prime	-4.3015122	3.9346747
D4	25	358	WT	Plate_3_prime	-6.4851623	1.7658184
D12	4	193	Null	Plate_3_prime	-6.269587	3.695173
D12	20	193	Null	Plate_3_prime	-4.941504	2.976521
E12	19	328	Null	Plate_3_prime	-3.8650012	3.5571666
F12	10	125	Null	Plate_3_prime	-5.78365	-0.20306167
G11	22	142	Null	Plate_3_prime	-3.8888958	-0.41266525
D4	23	358	WT	Plate_3_prime	-6.8141227	2.548197
C12	23	321	Null	Plate_3_prime	-6.3327994	-1.5919007
E10	18	72	Null	Plate_3_prime	-5.5185113	-2.32296
